,time_ns,counts_singlet,counts_singlet_norm,fluorophore,condition,intended_signal,counts_triplet,counts_triplet_norm
72,9.0,6439.0,0.03405598954889962,mVenus,40nmbeads,singlet,,
73,9.125,6187.0,0.0327231569093092,mVenus,40nmbeads,singlet,,
74,9.25,5906.0,0.031236942735797663,mVenus,40nmbeads,singlet,,
75,9.375,5702.0,0.03015798297993875,mVenus,40nmbeads,singlet,,
76,9.5,5400.0,0.02856069941979468,mVenus,40nmbeads,singlet,,
77,9.625,5186.0,0.02742884947982504,mVenus,40nmbeads,singlet,,
78,9.75,4970.0,0.02628642150303325,mVenus,40nmbeads,singlet,,
79,9.875,4914.0,0.025990236472013158,mVenus,40nmbeads,singlet,,
80,10.0,4600.0,0.02432948469093621,mVenus,40nmbeads,singlet,,
81,10.125,4450.0,0.023536131929275245,mVenus,40nmbeads,singlet,,
82,10.25,4245.0,0.02245188315500526,mVenus,40nmbeads,singlet,,
83,10.375,3970.0,0.020997403091960163,mVenus,40nmbeads,singlet,,
84,10.5,3908.0,0.020669483950473633,mVenus,40nmbeads,singlet,,
85,10.625,3753.0,0.019849686096757302,mVenus,40nmbeads,singlet,,
86,10.75,3761.0,0.01989199824404589,mVenus,40nmbeads,singlet,,
87,10.875,3451.0,0.01825240253661323,mVenus,40nmbeads,singlet,,
88,11.0,3347.0,0.01770234462186163,mVenus,40nmbeads,singlet,,
89,11.125,3289.0,0.01739558155401939,mVenus,40nmbeads,singlet,,
90,11.25,3263.0,0.01725806707533149,mVenus,40nmbeads,singlet,,
91,11.375,3067.0,0.016221419466761165,mVenus,40nmbeads,singlet,,
92,11.5,2956.0,0.01563433842313205,mVenus,40nmbeads,singlet,,
93,11.625,2789.0,0.014751072348482846,mVenus,40nmbeads,singlet,,
94,11.75,2705.0,0.014306794801952705,mVenus,40nmbeads,singlet,,
95,11.875,2592.0,0.013709135721501446,mVenus,40nmbeads,singlet,,
96,12.0,2664.0,0.014089945047098708,mVenus,40nmbeads,singlet,,
97,12.125,3088.0,0.0163324888533937,mVenus,40nmbeads,singlet,,
98,12.25,3670.0,0.019410697568638235,mVenus,40nmbeads,singlet,,
99,12.375,3773.0,0.019955466464978765,mVenus,40nmbeads,singlet,,
100,0.0,,,mVenus,40nmbeads,triplet,208.35380952380953,0.03649341352365537
101,0.125,,,mVenus,40nmbeads,triplet,243.3538095238095,0.04262370447560448
102,0.25,,,mVenus,40nmbeads,triplet,195.3538095238095,0.03421644831293141
103,0.375,,,mVenus,40nmbeads,triplet,190.3538095238095,0.03334069246265297
104,0.5,,,mVenus,40nmbeads,triplet,268.3538095238095,0.047002483726996704
105,0.625,,,mVenus,40nmbeads,triplet,254.3538095238095,0.044550367346217055
106,0.75,,,mVenus,40nmbeads,triplet,215.3538095238095,0.03771947171404519
107,0.875,,,mVenus,40nmbeads,triplet,205.35380952380953,0.03596796001348831
108,1.0,,,mVenus,40nmbeads,triplet,174.3538095238095,0.030538273741761945
109,1.125,,,mVenus,40nmbeads,triplet,222.3538095238095,0.03894552990443501
110,1.25,,,mVenus,40nmbeads,triplet,184.35380952380953,0.03228978544231884
111,1.375,,,mVenus,40nmbeads,triplet,185.35380952380956,0.03246493661237453
112,1.5,,,mVenus,40nmbeads,triplet,177.3538095238095,0.03106372725192901
113,1.625,,,mVenus,40nmbeads,triplet,141.35380952380953,0.02475828512992422
114,1.75,,,mVenus,40nmbeads,triplet,210.35380952380953,0.03684371586376675
115,1.875,,,mVenus,40nmbeads,triplet,129.35380952380953,0.02265647108925595
116,2.0,,,mVenus,40nmbeads,triplet,121.35380952380953,0.02125526172881044
117,2.125,,,mVenus,40nmbeads,triplet,237.35380952380956,0.04157279745527036
118,2.25,,,mVenus,40nmbeads,triplet,840.3538095238096,0.14718895299885076
119,2.375,,,mVenus,40nmbeads,triplet,2034.3538095238096,0.35631945004534327
120,2.5,,,mVenus,40nmbeads,triplet,3263.353809523809,0.5715802380437849
121,2.625,,,mVenus,40nmbeads,triplet,4437.35380952381,0.7772077116891637
122,2.75,,,mVenus,40nmbeads,triplet,5270.35380952381,0.9231086363455526
123,2.875,,,mVenus,40nmbeads,triplet,5709.35380952381,1.0
124,3.0,,,mVenus,40nmbeads,triplet,5561.35380952381,0.974077626831758
125,3.125,,,mVenus,40nmbeads,triplet,5449.35380952381,0.9544606957855208
126,3.25,,,mVenus,40nmbeads,triplet,5429.35380952381,0.9509576723844071
127,3.375,,,mVenus,40nmbeads,triplet,5175.35380952381,0.9064692751902621
128,3.5,,,mVenus,40nmbeads,triplet,4920.35380952381,0.8618057268260615
129,3.625,,,mVenus,40nmbeads,triplet,4822.35380952381,0.844640912160604
130,3.75,,,mVenus,40nmbeads,triplet,4598.35380952381,0.8054070500681296
131,3.875,,,mVenus,40nmbeads,triplet,4271.35380952381,0.7481326174599194
132,4.0,,,mVenus,40nmbeads,triplet,4040.35380952381,0.7076726971770553
133,4.125,,,mVenus,40nmbeads,triplet,3950.35380952381,0.6919090918720433
134,4.25,,,mVenus,40nmbeads,triplet,3887.35380952381,0.6808745681585349
135,4.375,,,mVenus,40nmbeads,triplet,3662.35380952381,0.6414655548960049
136,4.5,,,mVenus,40nmbeads,triplet,3511.35380952381,0.6150177282175958
137,4.625,,,mVenus,40nmbeads,triplet,3279.35380952381,0.574382656764676
138,4.75,,,mVenus,40nmbeads,triplet,3143.35380952381,0.5505620976371023
139,4.875,,,mVenus,40nmbeads,triplet,3190.35380952381,0.5587942026297197
140,5.0,,,mVenus,40nmbeads,triplet,2802.3538095238096,0.49083554864811235
141,5.125,,,mVenus,40nmbeads,triplet,2876.3538095238096,0.5037967352322333
142,5.25,,,mVenus,40nmbeads,triplet,2606.3538095238096,0.4565059193171973
143,5.375,,,mVenus,40nmbeads,triplet,2528.3538095238096,0.44284412805285356
144,5.5,,,mVenus,40nmbeads,triplet,2483.3538095238096,0.43496232540034757
145,5.625,,,mVenus,40nmbeads,triplet,2287.35380952381,0.40063269606943264
146,5.75,,,mVenus,40nmbeads,triplet,2297.3538095238096,0.40238420776998945
147,5.875,,,mVenus,40nmbeads,triplet,2169.3538095238096,0.3799648580028613
148,6.0,,,mVenus,40nmbeads,triplet,2011.3538095238096,0.35229097313406244
149,6.125,,,mVenus,40nmbeads,triplet,1874.3538095238096,0.32829526283643307
150,6.25,,,mVenus,40nmbeads,triplet,1849.3538095238096,0.3239164835850408
151,6.375,,,mVenus,40nmbeads,triplet,1791.353809523809,0.3137577157218108
152,6.5,,,mVenus,40nmbeads,triplet,1766.3538095238096,0.30937893647041864
153,6.625,,,mVenus,40nmbeads,triplet,1621.3538095238096,0.28398201681234375
154,6.75,,,mVenus,40nmbeads,triplet,1593.3538095238093,0.2790777840507844
155,6.875,,,mVenus,40nmbeads,triplet,1627.3538095238096,0.2850329238326779
156,7.0,,,mVenus,40nmbeads,triplet,1349.3538095238096,0.2363408985571964
157,7.125,,,mVenus,40nmbeads,triplet,1343.3538095238096,0.23528999153686225
158,7.25,,,mVenus,40nmbeads,triplet,1320.3538095238096,0.23126151462558142
159,7.375,,,mVenus,40nmbeads,triplet,1270.3538095238096,0.22250395612279697
160,7.5,,,mVenus,40nmbeads,triplet,1195.3538095238096,0.2093676183686203
161,7.625,,,mVenus,40nmbeads,triplet,1169.3538095238096,0.2048136879471724
162,7.75,,,mVenus,40nmbeads,triplet,1148.3538095238096,0.20113551337600294
163,7.875,,,mVenus,40nmbeads,triplet,1065.3538095238096,0.18659796626138075
164,8.0,,,mVenus,40nmbeads,triplet,1091.3538095238096,0.19115189668282867
165,8.125,,,mVenus,40nmbeads,triplet,965.3538095238096,0.16908284925581185
166,8.25,,,mVenus,40nmbeads,triplet,982.3538095238096,0.17206041914675857
167,8.375,,,mVenus,40nmbeads,triplet,908.3538095238096,0.15909923256263758
168,8.5,,,mVenus,40nmbeads,triplet,914.3538095238096,0.16015013958297172
169,8.625,,,mVenus,40nmbeads,triplet,867.3538095238096,0.15191803459035436
170,8.75,,,mVenus,40nmbeads,triplet,810.3538095238096,0.1419344178971801
171,8.875,,,mVenus,40nmbeads,triplet,772.3538095238096,0.13527867343506392
172,9.0,,,mVenus,40nmbeads,triplet,766.3538095238096,0.13422776641472978
173,9.125,,,mVenus,40nmbeads,triplet,695.3538095238096,0.12179203334077586
174,9.25,,,mVenus,40nmbeads,triplet,646.3538095238096,0.11320962600804711
175,9.375,,,mVenus,40nmbeads,triplet,640.3538095238096,0.11215871898771297
176,9.5,,,mVenus,40nmbeads,triplet,648.3538095238096,0.11355992834815849
177,9.625,,,mVenus,40nmbeads,triplet,614.3538095238096,0.10760478856626507
178,9.75,,,mVenus,40nmbeads,triplet,574.3538095238096,0.1005987417640375
179,9.875,,,mVenus,40nmbeads,triplet,580.3538095238096,0.10164964878437165
180,10.0,,,mVenus,40nmbeads,triplet,459.35380952380956,0.08045635720763329
181,10.125,,,mVenus,40nmbeads,triplet,510.35380952380956,0.08938906688047342
182,10.25,,,mVenus,40nmbeads,triplet,531.3538095238096,0.09306724145164288
183,10.375,,,mVenus,40nmbeads,triplet,452.35380952380956,0.07923029901724346
184,10.5,,,mVenus,40nmbeads,triplet,434.35380952380956,0.07607757795624107
185,10.625,,,mVenus,40nmbeads,triplet,428.35380952380956,0.07502667093590694
186,10.75,,,mVenus,40nmbeads,triplet,435.35380952380956,0.07625272912629676
187,10.875,,,mVenus,40nmbeads,triplet,360.3538095238095,0.06311639137212008
188,11.0,,,mVenus,40nmbeads,triplet,351.35380952380956,0.06154003084161889
189,11.125,,,mVenus,40nmbeads,triplet,363.35380952380956,0.06364184488228715
190,11.25,,,mVenus,40nmbeads,triplet,315.3538095238095,0.05523458871961408
191,11.375,,,mVenus,40nmbeads,triplet,338.35380952380956,0.05926306563089493
192,11.5,,,mVenus,40nmbeads,triplet,305.35380952380956,0.0534830770190572
193,11.625,,,mVenus,40nmbeads,triplet,340.3538095238095,0.059613367971006304
194,11.75,,,mVenus,40nmbeads,triplet,300.3538095238095,0.052607321168778746
195,11.875,,,mVenus,40nmbeads,triplet,253.3538095238095,0.044375216176161365
196,12.0,,,mVenus,40nmbeads,triplet,303.3538095238095,0.05313277467894581
197,12.125,,,mVenus,40nmbeads,triplet,254.35380952380953,0.04455036734621706
198,12.25,,,mVenus,40nmbeads,triplet,259.3538095238095,0.0454261231964955
199,12.375,,,mVenus,40nmbeads,triplet,269.35380952380956,0.0471776348970524
