,x,y,diff_time_ns,delay_time_ns,replicate,n_fluorophores,triplet_QY
128,68,52,3000,100,2,100000.0,0.01
129,40,72,3000,100,3,100000.0,0.01
130,51,48,3000,100,4,100000.0,0.01
131,71,68,3000,100,5,100000.0,0.01
132,59,59,3000,100,6,100000.0,0.01
133,61,51,3000,100,7,100000.0,0.01
134,62,60,3000,100,8,100000.0,0.01
135,74,66,3000,200,0,100000.0,0.01
136,73,70,3000,200,1,100000.0,0.01
137,57,63,3000,200,2,100000.0,0.01
138,79,45,3000,200,3,100000.0,0.01
139,88,59,3000,200,4,100000.0,0.01
140,71,50,3000,200,5,100000.0,0.01
141,66,56,3000,200,6,100000.0,0.01
142,50,42,3000,200,7,100000.0,0.01
143,82,60,3000,200,8,100000.0,0.01
144,81,51,3000,400,0,100000.0,0.01
145,78,52,3000,400,1,100000.0,0.01
146,72,55,3000,400,2,100000.0,0.01
147,82,65,3000,400,3,100000.0,0.01
148,85,57,3000,400,4,100000.0,0.01
149,59,66,3000,400,5,100000.0,0.01
150,71,63,3000,400,6,100000.0,0.01
151,77,49,3000,400,7,100000.0,0.01
152,61,53,3000,400,8,100000.0,0.01
153,85,57,3000,800,0,100000.0,0.01
154,92,61,3000,800,1,100000.0,0.01
155,79,61,3000,800,2,100000.0,0.01
156,86,46,3000,800,3,100000.0,0.01
157,98,39,3000,800,4,100000.0,0.01
158,80,46,3000,800,5,100000.0,0.01
159,90,50,3000,800,6,100000.0,0.01
160,79,41,3000,800,7,100000.0,0.01
161,98,59,3000,800,8,100000.0,0.01
162,80,50,3000,1600,0,100000.0,0.01
163,104,47,3000,1600,1,100000.0,0.01
164,96,49,3000,1600,2,100000.0,0.01
165,105,52,3000,1600,3,100000.0,0.01
166,100,45,3000,1600,4,100000.0,0.01
167,88,45,3000,1600,5,100000.0,0.01
168,103,51,3000,1600,6,100000.0,0.01
169,99,46,3000,1600,7,100000.0,0.01
170,98,34,3000,1600,8,100000.0,0.01
171,90,48,3000,3200,0,100000.0,0.01
172,107,55,3000,3200,1,100000.0,0.01
173,113,49,3000,3200,2,100000.0,0.01
174,101,39,3000,3200,3,100000.0,0.01
175,122,54,3000,3200,4,100000.0,0.01
176,100,49,3000,3200,5,100000.0,0.01
177,117,51,3000,3200,6,100000.0,0.01
178,96,46,3000,3200,7,100000.0,0.01
179,115,58,3000,3200,8,100000.0,0.01
180,125,49,3000,6400,0,100000.0,0.01
181,109,38,3000,6400,1,100000.0,0.01
182,96,47,3000,6400,2,100000.0,0.01
183,107,37,3000,6400,3,100000.0,0.01
184,115,45,3000,6400,4,100000.0,0.01
185,105,51,3000,6400,5,100000.0,0.01
186,123,41,3000,6400,6,100000.0,0.01
187,110,38,3000,6400,7,100000.0,0.01
188,80,46,3000,6400,8,100000.0,0.01
