,diffusion_time_ns,delay_ns,counts_x,counts_y,replicate
190,3000,200,9434,6549,3
191,3000,400,12303,7200,3
192,3000,800,13578,7481,3
193,3000,1600,14683,7206,3
194,3000,3200,15037,6972,3
195,3000,6400,15063,6884,3
196,3000,100,4662,4423,4
197,3000,200,9420,6519,4
198,3000,400,12069,7226,4
199,3000,800,13622,7395,4
200,3000,1600,14622,7106,4
201,3000,3200,14946,6970,4
202,3000,6400,15210,7099,4
203,3000,100,4712,4542,5
204,3000,200,9414,6420,5
205,3000,400,11979,7385,5
206,3000,800,13707,7390,5
207,3000,1600,14860,7159,5
208,3000,3200,15155,7076,5
209,3000,6400,15224,6837,5
210,3000,100,4837,4559,6
211,3000,200,9597,6380,6
212,3000,400,12130,7111,6
213,3000,800,13887,7284,6
214,3000,1600,14792,7168,6
215,3000,3200,15209,7055,6
216,3000,6400,15036,6882,6
217,3000,100,4811,4694,7
218,3000,200,9666,6445,7
219,3000,400,11992,7200,7
220,3000,800,13773,7160,7
221,3000,1600,14728,7104,7
222,3000,3200,15167,6814,7
223,3000,6400,15074,6747,7
224,3000,100,4866,4548,8
225,3000,200,9393,6453,8
226,3000,400,12023,7240,8
227,3000,800,13648,7309,8
228,3000,1600,14812,7285,8
229,3000,3200,15308,7075,8
230,3000,6400,15139,6890,8
231,3000,100,4675,4653,9
232,3000,200,9592,6519,9
233,3000,400,11975,7245,9
234,3000,800,13806,7415,9
235,3000,1600,14913,7185,9
236,3000,3200,15417,7168,9
237,3000,6400,14841,6951,9
238,3000,100,4666,4537,10
239,3000,200,9476,6283,10
240,3000,400,12059,7288,10
241,3000,800,13669,7412,10
242,3000,1600,14845,7290,10
243,3000,3200,15041,7016,10
244,3000,6400,15193,6914,10
245,3000,100,4781,4498,11
246,3000,200,9433,6417,11
247,3000,400,12154,7278,11
248,3000,800,13625,7235,11
249,3000,1600,14870,7136,11
250,3000,3200,15409,7017,11
251,3000,6400,15218,6863,11
