,diffusion_time_ns,delay_ns,counts_x,counts_y,replicate
190,3000,200,7655,14882,3
191,3000,400,8732,14319,3
192,3000,800,9248,13183,3
193,3000,1600,10098,11968,3
194,3000,3200,10748,11045,3
195,3000,6400,11049,10966,3
196,3000,100,6104,13764,4
197,3000,200,7783,14582,4
198,3000,400,8848,13862,4
199,3000,800,9136,12981,4
200,3000,1600,10069,11989,4
201,3000,3200,10932,11113,4
202,3000,6400,10811,10875,4
203,3000,100,6251,13875,5
204,3000,200,7905,14538,5
205,3000,400,8599,14296,5
206,3000,800,9170,13004,5
207,3000,1600,10177,11684,5
208,3000,3200,10800,11054,5
209,3000,6400,10874,11120,5
210,3000,100,6246,13816,6
211,3000,200,7827,14876,6
212,3000,400,8584,14174,6
213,3000,800,9534,13202,6
214,3000,1600,10120,11791,6
215,3000,3200,10751,11191,6
216,3000,6400,10911,10871,6
217,3000,100,6206,13739,7
218,3000,200,7888,14817,7
219,3000,400,8736,14229,7
220,3000,800,9237,13205,7
221,3000,1600,10068,11815,7
222,3000,3200,10742,11163,7
223,3000,6400,10793,10967,7
224,3000,100,6255,13789,8
225,3000,200,8027,14715,8
226,3000,400,8710,14215,8
227,3000,800,9361,12913,8
228,3000,1600,10000,11878,8
229,3000,3200,10852,11263,8
230,3000,6400,10915,10858,8
231,3000,100,6026,13732,9
232,3000,200,7650,14759,9
233,3000,400,8747,14228,9
234,3000,800,9468,13133,9
235,3000,1600,10032,11950,9
236,3000,3200,10638,11214,9
237,3000,6400,11075,10947,9
238,3000,100,6233,13930,10
239,3000,200,7845,14770,10
240,3000,400,8570,14339,10
241,3000,800,9265,13024,10
242,3000,1600,10121,11846,10
243,3000,3200,10755,11138,10
244,3000,6400,10860,10888,10
245,3000,100,6132,13855,11
246,3000,200,7878,14727,11
247,3000,400,8674,14321,11
248,3000,800,9359,13061,11
249,3000,1600,10070,11927,11
250,3000,3200,10715,11147,11
251,3000,6400,10855,11063,11
