,time_ns,x_cdf,y_cdf,diffusion_time_ns,saturation,replicate
132,13200,45226,101820,750.0,1.25,0
133,13300,45226,101820,750.0,1.25,0
134,13400,45226,101820,750.0,1.25,0
135,13500,45226,101820,750.0,1.25,0
136,13600,45226,101820,750.0,1.25,0
137,13700,45226,101820,750.0,1.25,0
138,13800,45226,101820,750.0,1.25,0
139,13900,45226,101820,750.0,1.25,0
140,14000,45226,101820,750.0,1.25,0
141,14100,45226,101820,750.0,1.25,0
142,14200,45226,101820,750.0,1.25,0
143,14300,45226,101820,750.0,1.25,0
144,14400,45226,101820,750.0,1.25,0
145,14500,45226,101820,750.0,1.25,0
146,14600,45226,101820,750.0,1.25,0
147,14700,45226,101820,750.0,1.25,0
148,14800,45226,101820,750.0,1.25,0
149,14900,45226,101820,750.0,1.25,0
150,0,0,0,6000.0,1.25,0
151,100,4287,11363,6000.0,1.25,0
152,200,8121,20565,6000.0,1.25,0
153,300,11475,28162,6000.0,1.25,0
154,400,14322,34339,6000.0,1.25,0
155,500,16932,39444,6000.0,1.25,0
156,600,19206,43685,6000.0,1.25,0
157,700,21337,47225,6000.0,1.25,0
158,800,23239,50265,6000.0,1.25,0
159,900,24932,52741,6000.0,1.25,0
160,1000,26467,54973,6000.0,1.25,0
161,1100,27942,57005,6000.0,1.25,0
162,1200,29224,58823,6000.0,1.25,0
163,1300,30505,60453,6000.0,1.25,0
164,1400,31712,61961,6000.0,1.25,0
165,1500,32804,63282,6000.0,1.25,0
166,1600,33877,64544,6000.0,1.25,0
167,1700,34833,65593,6000.0,1.25,0
168,1800,35752,66575,6000.0,1.25,0
169,1900,36519,67493,6000.0,1.25,0
170,2000,37344,68361,6000.0,1.25,0
171,2100,38121,69155,6000.0,1.25,0
172,2200,38859,69886,6000.0,1.25,0
173,2300,39576,70547,6000.0,1.25,0
174,2400,40299,71228,6000.0,1.25,0
175,2500,40977,71871,6000.0,1.25,0
176,2600,41605,72432,6000.0,1.25,0
177,2700,42246,72978,6000.0,1.25,0
178,2800,42812,73477,6000.0,1.25,0
179,2900,43397,73964,6000.0,1.25,0
180,3000,43845,74504,6000.0,1.25,0
181,3100,44319,74946,6000.0,1.25,0
182,3200,44723,75338,6000.0,1.25,0
183,3300,45081,75780,6000.0,1.25,0
184,3400,45488,76175,6000.0,1.25,0
185,3500,45853,76557,6000.0,1.25,0
186,3600,46238,76921,6000.0,1.25,0
187,3700,46548,77292,6000.0,1.25,0
188,3800,46863,77632,6000.0,1.25,0
189,3900,47164,77956,6000.0,1.25,0
190,4000,47441,78236,6000.0,1.25,0
191,4100,47704,78496,6000.0,1.25,0
192,4200,47935,78719,6000.0,1.25,0
193,4300,48156,78933,6000.0,1.25,0
194,4400,48386,79134,6000.0,1.25,0
195,4500,48615,79332,6000.0,1.25,0
196,4600,48837,79519,6000.0,1.25,0
197,4700,49042,79701,6000.0,1.25,0
198,4800,49236,79890,6000.0,1.25,0
199,4900,49442,80060,6000.0,1.25,0
200,5000,49644,80239,6000.0,1.25,0
201,5100,49828,80389,6000.0,1.25,0
202,5200,49972,80536,6000.0,1.25,0
203,5300,50114,80677,6000.0,1.25,0
204,5400,50256,80828,6000.0,1.25,0
205,5500,50396,80939,6000.0,1.25,0
206,5600,50530,81076,6000.0,1.25,0
207,5700,50650,81180,6000.0,1.25,0
208,5800,50764,81279,6000.0,1.25,0
209,5900,50879,81363,6000.0,1.25,0
210,6000,50978,81460,6000.0,1.25,0
211,6100,51068,81570,6000.0,1.25,0
212,6200,51168,81672,6000.0,1.25,0
213,6300,51255,81757,6000.0,1.25,0
214,6400,51337,81849,6000.0,1.25,0
215,6500,51425,81941,6000.0,1.25,0
216,6600,51484,82008,6000.0,1.25,0
217,6700,51561,82093,6000.0,1.25,0
218,6800,51613,82183,6000.0,1.25,0
219,6900,51667,82278,6000.0,1.25,0
220,7000,51736,82365,6000.0,1.25,0
221,7100,51790,82441,6000.0,1.25,0
222,7200,51845,82499,6000.0,1.25,0
223,7300,51900,82553,6000.0,1.25,0
224,7400,51958,82615,6000.0,1.25,0
225,7500,52003,82653,6000.0,1.25,0
226,7600,52055,82690,6000.0,1.25,0
227,7700,52093,82747,6000.0,1.25,0
228,7800,52145,82793,6000.0,1.25,0
229,7900,52194,82832,6000.0,1.25,0
230,8000,52224,82863,6000.0,1.25,0
231,8100,52258,82884,6000.0,1.25,0
232,8200,52283,82906,6000.0,1.25,0
233,8300,52312,82926,6000.0,1.25,0
234,8400,52345,82940,6000.0,1.25,0
235,8500,52368,82959,6000.0,1.25,0
236,8600,52393,82972,6000.0,1.25,0
237,8700,52419,82995,6000.0,1.25,0
238,8800,52441,83020,6000.0,1.25,0
239,8900,52474,83041,6000.0,1.25,0
240,9000,52499,83055,6000.0,1.25,0
241,9100,52514,83074,6000.0,1.25,0
242,9200,52532,83092,6000.0,1.25,0
243,9300,52547,83113,6000.0,1.25,0
244,9400,52577,83131,6000.0,1.25,0
245,9500,52598,83144,6000.0,1.25,0
246,9600,52611,83162,6000.0,1.25,0
247,9700,52626,83185,6000.0,1.25,0
248,9800,52637,83200,6000.0,1.25,0
249,9900,52656,83218,6000.0,1.25,0
250,10000,52668,83228,6000.0,1.25,0
251,10100,52672,83243,6000.0,1.25,0
252,10200,52681,83258,6000.0,1.25,0
253,10300,52694,83266,6000.0,1.25,0
254,10400,52707,83280,6000.0,1.25,0
255,10500,52723,83294,6000.0,1.25,0
256,10600,52734,83308,6000.0,1.25,0
257,10700,52746,83317,6000.0,1.25,0
258,10800,52756,83326,6000.0,1.25,0
259,10900,52763,83330,6000.0,1.25,0
260,11000,52773,83331,6000.0,1.25,0
261,11100,52783,83335,6000.0,1.25,0
262,11200,52796,83339,6000.0,1.25,0
263,11300,52800,83342,6000.0,1.25,0
264,11400,52806,83345,6000.0,1.25,0
265,11500,52812,83346,6000.0,1.25,0
266,11600,52814,83348,6000.0,1.25,0
267,11700,52817,83351,6000.0,1.25,0
268,11800,52820,83356,6000.0,1.25,0
269,11900,52822,83358,6000.0,1.25,0
270,12000,52826,83362,6000.0,1.25,0
271,12100,52831,83364,6000.0,1.25,0
272,12200,52835,83368,6000.0,1.25,0
273,12300,52840,83378,6000.0,1.25,0
274,12400,52854,83381,6000.0,1.25,0
275,12500,52856,83382,6000.0,1.25,0
276,12600,52856,83383,6000.0,1.25,0
277,12700,52858,83385,6000.0,1.25,0
278,12800,52858,83386,6000.0,1.25,0
279,12900,52859,83388,6000.0,1.25,0
280,13000,52859,83395,6000.0,1.25,0
281,13100,52861,83401,6000.0,1.25,0
282,13200,52861,83407,6000.0,1.25,0
283,13300,52861,83414,6000.0,1.25,0
284,13400,52866,83421,6000.0,1.25,0
285,13500,52866,83428,6000.0,1.25,0
286,13600,52869,83436,6000.0,1.25,0
287,13700,52872,83444,6000.0,1.25,0
288,13800,52876,83449,6000.0,1.25,0
289,13900,52880,83452,6000.0,1.25,0
290,14000,52886,83455,6000.0,1.25,0
291,14100,52890,83459,6000.0,1.25,0
292,14200,52891,83459,6000.0,1.25,0
293,14300,52893,83464,6000.0,1.25,0
294,14400,52893,83467,6000.0,1.25,0
295,14500,52897,83472,6000.0,1.25,0
296,14600,52900,83474,6000.0,1.25,0
297,14700,52901,83477,6000.0,1.25,0
298,14800,52902,83478,6000.0,1.25,0
299,14900,52905,83481,6000.0,1.25,0
