,time_ns,x_cdf,y_cdf,diffusion_time_ns,saturation,replicate
132,13200,63027,144563,750.0,1.25,0
133,13300,63131,144863,750.0,1.25,0
134,13400,63245,145161,750.0,1.25,0
135,13500,63376,145425,750.0,1.25,0
136,13600,63488,145662,750.0,1.25,0
137,13700,63594,145923,750.0,1.25,0
138,13800,63724,146176,750.0,1.25,0
139,13900,63827,146459,750.0,1.25,0
140,14000,63938,146737,750.0,1.25,0
141,14100,64046,146982,750.0,1.25,0
142,14200,64142,147246,750.0,1.25,0
143,14300,64248,147497,750.0,1.25,0
144,14400,64350,147760,750.0,1.25,0
145,14500,64454,147977,750.0,1.25,0
146,14600,64571,148232,750.0,1.25,0
147,14700,64653,148532,750.0,1.25,0
148,14800,64769,148827,750.0,1.25,0
149,14900,64875,149089,750.0,1.25,0
150,0,0,0,6000.0,1.25,0
151,100,4232,11110,6000.0,1.25,0
152,200,7990,20034,6000.0,1.25,0
153,300,11232,27427,6000.0,1.25,0
154,400,14051,33382,6000.0,1.25,0
155,500,16535,38454,6000.0,1.25,0
156,600,18752,42664,6000.0,1.25,0
157,700,20798,46207,6000.0,1.25,0
158,800,22673,49230,6000.0,1.25,0
159,900,24400,51994,6000.0,1.25,0
160,1000,26010,54327,6000.0,1.25,0
161,1100,27579,56363,6000.0,1.25,0
162,1200,28906,58172,6000.0,1.25,0
163,1300,30225,59874,6000.0,1.25,0
164,1400,31377,61463,6000.0,1.25,0
165,1500,32559,62889,6000.0,1.25,0
166,1600,33671,64273,6000.0,1.25,0
167,1700,34785,65577,6000.0,1.25,0
168,1800,35848,66752,6000.0,1.25,0
169,1900,36789,67976,6000.0,1.25,0
170,2000,37661,69076,6000.0,1.25,0
171,2100,38535,70105,6000.0,1.25,0
172,2200,39356,71064,6000.0,1.25,0
173,2300,40138,72008,6000.0,1.25,0
174,2400,40851,72885,6000.0,1.25,0
175,2500,41563,73736,6000.0,1.25,0
176,2600,42217,74575,6000.0,1.25,0
177,2700,42861,75370,6000.0,1.25,0
178,2800,43502,76171,6000.0,1.25,0
179,2900,44141,76916,6000.0,1.25,0
180,3000,44744,77611,6000.0,1.25,0
181,3100,45303,78334,6000.0,1.25,0
182,3200,45858,79031,6000.0,1.25,0
183,3300,46445,79666,6000.0,1.25,0
184,3400,46960,80294,6000.0,1.25,0
185,3500,47460,80933,6000.0,1.25,0
186,3600,47954,81526,6000.0,1.25,0
187,3700,48425,82116,6000.0,1.25,0
188,3800,48877,82668,6000.0,1.25,0
189,3900,49325,83259,6000.0,1.25,0
190,4000,49813,83773,6000.0,1.25,0
191,4100,50256,84303,6000.0,1.25,0
192,4200,50668,84790,6000.0,1.25,0
193,4300,51099,85290,6000.0,1.25,0
194,4400,51494,85753,6000.0,1.25,0
195,4500,51875,86223,6000.0,1.25,0
196,4600,52215,86711,6000.0,1.25,0
197,4700,52530,87201,6000.0,1.25,0
198,4800,52842,87645,6000.0,1.25,0
199,4900,53139,88098,6000.0,1.25,0
200,5000,53416,88514,6000.0,1.25,0
201,5100,53728,88948,6000.0,1.25,0
202,5200,54053,89361,6000.0,1.25,0
203,5300,54363,89780,6000.0,1.25,0
204,5400,54661,90187,6000.0,1.25,0
205,5500,54934,90546,6000.0,1.25,0
206,5600,55244,90947,6000.0,1.25,0
207,5700,55524,91368,6000.0,1.25,0
208,5800,55785,91764,6000.0,1.25,0
209,5900,56063,92184,6000.0,1.25,0
210,6000,56336,92598,6000.0,1.25,0
211,6100,56594,92975,6000.0,1.25,0
212,6200,56887,93374,6000.0,1.25,0
213,6300,57141,93779,6000.0,1.25,0
214,6400,57394,94188,6000.0,1.25,0
215,6500,57665,94620,6000.0,1.25,0
216,6600,57907,95006,6000.0,1.25,0
217,6700,58137,95363,6000.0,1.25,0
218,6800,58342,95669,6000.0,1.25,0
219,6900,58558,95997,6000.0,1.25,0
220,7000,58813,96288,6000.0,1.25,0
221,7100,59015,96619,6000.0,1.25,0
222,7200,59238,96919,6000.0,1.25,0
223,7300,59450,97277,6000.0,1.25,0
224,7400,59687,97643,6000.0,1.25,0
225,7500,59898,97983,6000.0,1.25,0
226,7600,60108,98318,6000.0,1.25,0
227,7700,60343,98684,6000.0,1.25,0
228,7800,60550,99069,6000.0,1.25,0
229,7900,60798,99431,6000.0,1.25,0
230,8000,61046,99816,6000.0,1.25,0
231,8100,61265,100184,6000.0,1.25,0
232,8200,61511,100528,6000.0,1.25,0
233,8300,61720,100886,6000.0,1.25,0
234,8400,61980,101233,6000.0,1.25,0
235,8500,62193,101557,6000.0,1.25,0
236,8600,62406,101915,6000.0,1.25,0
237,8700,62601,102227,6000.0,1.25,0
238,8800,62797,102527,6000.0,1.25,0
239,8900,63008,102807,6000.0,1.25,0
240,9000,63204,103138,6000.0,1.25,0
241,9100,63401,103437,6000.0,1.25,0
242,9200,63597,103716,6000.0,1.25,0
243,9300,63790,104036,6000.0,1.25,0
244,9400,63997,104374,6000.0,1.25,0
245,9500,64168,104710,6000.0,1.25,0
246,9600,64358,105020,6000.0,1.25,0
247,9700,64539,105309,6000.0,1.25,0
248,9800,64716,105579,6000.0,1.25,0
249,9900,64904,105837,6000.0,1.25,0
250,10000,65092,106099,6000.0,1.25,0
251,10100,65289,106377,6000.0,1.25,0
252,10200,65471,106631,6000.0,1.25,0
253,10300,65673,106906,6000.0,1.25,0
254,10400,65859,107165,6000.0,1.25,0
255,10500,66056,107461,6000.0,1.25,0
256,10600,66241,107765,6000.0,1.25,0
257,10700,66429,108062,6000.0,1.25,0
258,10800,66607,108354,6000.0,1.25,0
259,10900,66794,108580,6000.0,1.25,0
260,11000,66972,108878,6000.0,1.25,0
261,11100,67137,109148,6000.0,1.25,0
262,11200,67319,109444,6000.0,1.25,0
263,11300,67500,109712,6000.0,1.25,0
264,11400,67731,109975,6000.0,1.25,0
265,11500,67907,110244,6000.0,1.25,0
266,11600,68090,110466,6000.0,1.25,0
267,11700,68258,110624,6000.0,1.25,0
268,11800,68411,110805,6000.0,1.25,0
269,11900,68574,111014,6000.0,1.25,0
270,12000,68760,111264,6000.0,1.25,0
271,12100,68935,111515,6000.0,1.25,0
272,12200,69097,111752,6000.0,1.25,0
273,12300,69277,111995,6000.0,1.25,0
274,12400,69457,112212,6000.0,1.25,0
275,12500,69585,112436,6000.0,1.25,0
276,12600,69752,112643,6000.0,1.25,0
277,12700,69906,112889,6000.0,1.25,0
278,12800,70071,113155,6000.0,1.25,0
279,12900,70230,113403,6000.0,1.25,0
280,13000,70386,113616,6000.0,1.25,0
281,13100,70543,113852,6000.0,1.25,0
282,13200,70711,114079,6000.0,1.25,0
283,13300,70861,114304,6000.0,1.25,0
284,13400,70998,114538,6000.0,1.25,0
285,13500,71158,114753,6000.0,1.25,0
286,13600,71323,115001,6000.0,1.25,0
287,13700,71507,115259,6000.0,1.25,0
288,13800,71653,115518,6000.0,1.25,0
289,13900,71802,115742,6000.0,1.25,0
290,14000,71961,116009,6000.0,1.25,0
291,14100,72094,116254,6000.0,1.25,0
292,14200,72245,116476,6000.0,1.25,0
293,14300,72383,116688,6000.0,1.25,0
294,14400,72526,116906,6000.0,1.25,0
295,14500,72699,117123,6000.0,1.25,0
296,14600,72842,117363,6000.0,1.25,0
297,14700,72997,117587,6000.0,1.25,0
298,14800,73150,117818,6000.0,1.25,0
299,14900,73332,118057,6000.0,1.25,0
