,time_ns,avg_x_squared,avg_y_squared,diff_time_ns
0,0,0.2006636576301397,0.5952076884710202,21746
1,200,0.20364195799519538,0.5896583209747438,21746
2,400,0.20797712550984582,0.5826179753418291,21746
3,600,0.20989153900825006,0.5773612620413843,21746
4,800,0.21283909457973565,0.571529875400579,21746
5,1000,0.21576491151505275,0.5646575879975797,21746
6,1200,0.21928056228718143,0.5576451829013004,21746
7,1400,0.22097421130138012,0.5536084533247991,21746
8,1600,0.22532075743358765,0.5458193507758826,21746
9,1800,0.22811624347792303,0.5400675364129287,21746
10,2000,0.23110115898800368,0.5344509934912025,21746
11,2200,0.23319421732459933,0.5283142619605168,21746
12,2400,0.23574067377211388,0.523717467715452,21746
13,2600,0.2378774673397636,0.5186184332360134,21746
14,2800,0.23991213679301568,0.51201541119788,21746
15,3000,0.2417063098610031,0.5084564670624939,21746
16,3200,0.24357161180470085,0.5040259288453334,21746
17,3400,0.24682315279930944,0.49818126110942557,21746
18,3600,0.2489902132481826,0.49413111690651756,21746
19,3800,0.2511285692860074,0.48982900614378944,21746
20,4000,0.2543768953292617,0.48446061025585163,21746
21,4200,0.2561525504347609,0.4810936532099828,21746
22,4400,0.25868353767641206,0.47766094232516093,21746
23,4600,0.26140760466685553,0.4734436786428058,21746
24,4800,0.263071323103933,0.4698525021133214,21746
25,5000,0.2643524956887123,0.4657542742048225,21746
26,5200,0.2658708258942875,0.46221312226426564,21746
27,5400,0.26721709140389216,0.45889279336636857,21746
28,5600,0.26976256406926513,0.45491396711340265,21746
29,5800,0.27102692159267033,0.45100658731811905,21746
30,6000,0.27350142731309035,0.4476379511291768,21746
31,6200,0.27494966588481634,0.4441777908706531,21746
32,6400,0.27615561467939503,0.4422749441753418,21746
33,6600,0.277673530565931,0.438656326096682,21746
34,6800,0.27848206058055597,0.43667367352802966,21746
35,7000,0.2799176555413393,0.4326227073666251,21746
36,7200,0.2821532256868987,0.4290086032766268,21746
37,7400,0.2828496823182371,0.4277757790291263,21746
38,7600,0.2850799701116531,0.42541095079105795,21746
39,7800,0.2869720662879263,0.4224849935188252,21746
40,8000,0.2875205779543815,0.4213136586859469,21746
41,8200,0.2881356024579162,0.41954871403043015,21746
42,8400,0.2890840006696833,0.4159392409921524,21746
43,8600,0.2892003625650564,0.4141234635360117,21746
44,8800,0.29056023126440295,0.41293909134574847,21746
45,9000,0.29302531345924476,0.40963903196352913,21746
46,9200,0.2953159909404005,0.40782244564992237,21746
47,9400,0.294816803150637,0.40605079447135217,21746
48,9600,0.29664072195642666,0.40343568792849616,21746
49,9800,0.2978901200009706,0.4007336270839415,21746
50,10000,0.2990613152916495,0.39979690589625866,21746
51,10200,0.29930254950002533,0.39889799989000624,21746
52,10400,0.2979249443496903,0.3980178926650719,21746
53,10600,0.29992041812533343,0.39597017974452553,21746
54,10800,0.301863048106419,0.39305857242161674,21746
55,11000,0.3033989468142488,0.3905519266181262,21746
56,11200,0.3045267073742013,0.388942839079189,21746
57,11400,0.3054222813254164,0.3878038849993147,21746
58,11600,0.30645122649161816,0.38546192118849576,21746
59,11800,0.30708074026578086,0.38466151393643744,21746
60,12000,0.30855597115759575,0.38264164781811444,21746
61,12200,0.3092066738663913,0.38203775714062504,21746
62,12400,0.31047428902388147,0.3806384667023399,21746
63,12600,0.31118167575172767,0.37952368440208195,21746
64,12800,0.3107359939134501,0.37954718286554234,21746
65,13000,0.310962647440979,0.37818254478514063,21746
66,13200,0.31251241917506956,0.37656741982778236,21746
67,13400,0.3133870588439967,0.3738709891769363,21746
68,13600,0.31293656991312324,0.37345834328631566,21746
69,13800,0.31495296209870305,0.37313556317625995,21746
70,14000,0.3157835413801674,0.37315623739326326,21746
71,14200,0.31551343532022963,0.37264412288704607,21746
72,14400,0.317310345444152,0.3713437069729658,21746
73,14600,0.3174388883576435,0.37087930896429616,21746
74,14800,0.3185246729716131,0.368512031203402,21746
75,15000,0.3189766566494045,0.3666436009458428,21746
76,15200,0.3169776367053369,0.3661633841693072,21746
77,15400,0.3167885758554253,0.36634269465622377,21746
78,15600,0.3176256202672768,0.3653469398889686,21746
79,15800,0.3189754802867728,0.36436573099259784,21746
80,16000,0.31901948948332426,0.3632902562280628,21746
81,16200,0.31863845384393685,0.3631663024690148,21746
82,16400,0.31755256391703346,0.36337351429064874,21746
83,16600,0.3168227761186984,0.3617331174915957,21746
84,16800,0.318130885449155,0.3599905534032703,21746
85,17000,0.31799554074655956,0.35981069164616253,21746
86,17200,0.3188690885492815,0.3596613134738621,21746
87,17400,0.31947212181006673,0.3584047306216783,21746
88,17600,0.3197004059601889,0.358613368926289,21746
89,17800,0.31858639942867323,0.3582954410670601,21746
90,18000,0.31919834215851006,0.35770827886616813,21746
91,18200,0.3196954278466323,0.3562649543673125,21746
92,18400,0.3212669498820877,0.3551104737624908,21746
93,18600,0.3210729299330911,0.3540718297684064,21746
94,18800,0.32253920797201974,0.35294697403224423,21746
95,19000,0.32112616030690055,0.35385695688877655,21746
96,19200,0.3214382665672236,0.35253721592771187,21746
97,19400,0.3208309576885344,0.3528717576707646,21746
98,19600,0.3202650532503037,0.35345717538589555,21746
99,19800,0.3218848953088194,0.3506273256974269,21746
100,20000,0.32299346289948255,0.3499965333737984,21746
101,20200,0.3222104002002076,0.3499714703969321,21746
102,20400,0.32378624699224234,0.3478030187728451,21746
103,20600,0.32414946220565954,0.3463774851910256,21746
104,20800,0.32521671465591834,0.34646504857765914,21746
105,21000,0.325236526859226,0.3464941687093072,21746
106,21200,0.3269411439328388,0.34594348007416115,21746
