,time_ns,avg_x_squared,avg_y_squared,diff_time_ns
0,0,0.06135200738316606,0.7043787191199818,21746
1,200,0.06847870612265602,0.6940354152723375,21746
2,400,0.07577463201690832,0.6838275678290889,21746
3,600,0.08232903433480876,0.6746877328436038,21746
4,800,0.08897337434701807,0.6658510223968185,21746
5,1000,0.09484824966986616,0.6572032222852573,21746
6,1200,0.10078133198134087,0.6487547452890944,21746
7,1400,0.10722210173566683,0.6398214110711525,21746
8,1600,0.11343512467830323,0.6321987430952726,21746
9,1800,0.11890577993439641,0.6242440109655807,21746
10,2000,0.1247738955173064,0.6170306992781771,21746
11,2200,0.13019615475418306,0.6089284638956205,21746
12,2400,0.13680744638069312,0.6007116126345478,21746
13,2600,0.1419290601115836,0.5938487478971233,21746
14,2800,0.14802576688009253,0.5866731900337641,21746
15,3000,0.1527638713336823,0.5799860043743374,21746
16,3200,0.15780710018687708,0.5729592232344051,21746
17,3400,0.16239894447398695,0.5664916597350679,21746
18,3600,0.16717209356922744,0.5603106127532661,21746
19,3800,0.1706506992952144,0.5552156006206153,21746
20,4000,0.17509881104965463,0.5488382358682691,21746
21,4200,0.17932273489460074,0.5424282550394702,21746
22,4400,0.18333014397985203,0.536452988640901,21746
23,4600,0.18617759827449368,0.5313905963536576,21746
24,4800,0.18978083011024402,0.5268897307334205,21746
25,5000,0.19445789879608014,0.5210134211196223,21746
26,5200,0.19781417734464096,0.5157400870207273,21746
27,5400,0.20104921446084897,0.5112104955160963,21746
28,5600,0.2039885421612368,0.506866352227583,21746
29,5800,0.20613994589118523,0.5028590191460592,21746
30,6000,0.20920226573799838,0.4981413117731637,21746
31,6200,0.21250724110458133,0.4927920874224494,21746
32,6400,0.21572143765757135,0.4879308457940843,21746
33,6600,0.21839803063816826,0.4832838164539615,21746
34,6800,0.22194225539910623,0.47965036726521076,21746
35,7000,0.22486510822304018,0.4756400939510384,21746
36,7200,0.22756924220523178,0.47152422860401383,21746
37,7400,0.23084858915603418,0.4670175247832497,21746
38,7600,0.23381210147335582,0.46242466387069137,21746
39,7800,0.23639341832420677,0.4593123904970112,21746
40,8000,0.2399611405561359,0.45593363061297687,21746
41,8200,0.24225271072797627,0.45220208313834065,21746
42,8400,0.2447568556478451,0.44836559806620946,21746
43,8600,0.2471095399317888,0.44570619678765994,21746
44,8800,0.24994501685392412,0.44200345368103183,21746
45,9000,0.2515574873000521,0.4393268909513935,21746
46,9200,0.25367400765420123,0.4358486060206008,21746
47,9400,0.25597440409031763,0.4325000325422406,21746
48,9600,0.25818051162279076,0.43027492548363017,21746
49,9800,0.26052259268549827,0.42825013564172654,21746
50,10000,0.2618195575137479,0.4255266788224252,21746
51,10200,0.26425519039342776,0.4225446557010976,21746
52,10400,0.2659558620850811,0.41968948590839644,21746
53,10600,0.26807056949113245,0.41749009753983457,21746
54,10800,0.2694838186449307,0.4160147399518837,21746
55,11000,0.27140503283188155,0.41397990587673733,21746
56,11200,0.27216916786798323,0.41207031170193315,21746
57,11400,0.27372027905025653,0.41026539782754806,21746
58,11600,0.2764447480530841,0.40680039838818105,21746
59,11800,0.278426469015255,0.40465934797751446,21746
60,12000,0.2790781791932165,0.40233373502984765,21746
61,12200,0.2818586723506554,0.3995001617291708,21746
62,12400,0.2843215677002024,0.3969188554014656,21746
63,12600,0.28544789884384597,0.395496689108664,21746
64,12800,0.28731876248413907,0.39418519765817084,21746
65,13000,0.28823294770013097,0.3920026172365111,21746
66,13200,0.2891120019823264,0.39032509424581496,21746
67,13400,0.2899937793726025,0.38852048627154856,21746
68,13600,0.2906835325092677,0.38774474422086247,21746
69,13800,0.2909948702029312,0.3875243424216231,21746
70,14000,0.2912085139377011,0.3866631682755413,21746
71,14200,0.2927440589940486,0.3848521811156834,21746
72,14400,0.2945864899696623,0.38261289597784126,21746
73,14600,0.2944082835185439,0.38347256805202473,21746
74,14800,0.2950819051433799,0.38185712350730466,21746
75,15000,0.29595979957684815,0.3805755567768796,21746
76,15200,0.2973363563418637,0.37906383406421984,21746
77,15400,0.29872322730157047,0.37726943272379737,21746
78,15600,0.299701545928784,0.3761491028837411,21746
79,15800,0.3004939820207435,0.3750482269883072,21746
80,16000,0.3013018505175737,0.3744747478071716,21746
81,16200,0.3018909675972813,0.37464597273678046,21746
82,16400,0.3020475697127314,0.3747192692085948,21746
83,16600,0.3022073636935765,0.37396699973358716,21746
84,16800,0.3031462400004641,0.373289869893834,21746
85,17000,0.3043891445941619,0.3715515304134125,21746
86,17200,0.3059649605895047,0.3706883783207068,21746
87,17400,0.30568808732294306,0.3697852205115179,21746
88,17600,0.30578572006956417,0.36892842848824625,21746
89,17800,0.30607948810666696,0.36844051317074406,21746
90,18000,0.30629830883954245,0.36838619962726177,21746
91,18200,0.30748032687680943,0.36682843244262014,21746
92,18400,0.30838230161304386,0.36517227616201053,21746
93,18600,0.3089314463889609,0.3641136139142216,21746
94,18800,0.30953841092061646,0.3628478006614301,21746
95,19000,0.309803441368339,0.362926965468896,21746
96,19200,0.3099742619786933,0.36279038524332735,21746
97,19400,0.30996767004890147,0.36301499461267017,21746
98,19600,0.3109091840793603,0.36190260386565265,21746
99,19800,0.3116750360628377,0.3611592557542805,21746
100,20000,0.31281649071863155,0.35956189728646437,21746
101,20200,0.3135039722198051,0.3585925486382604,21746
102,20400,0.3123518731132414,0.35851630949731117,21746
103,20600,0.3119182744454501,0.35766468922328754,21746
104,20800,0.3126341657404484,0.35654303742474847,21746
105,21000,0.3132360316296678,0.3560325562951332,21746
106,21200,0.3133900852867773,0.3557016756402053,21746
