,time_ns,avg_x_coord,avg_y_coord,diff_time_ns
0,0,0.19775717750798935,0.8183754395507133,21746
1,200,0.21103749082011913,0.8106220896362626,21746
2,400,0.22161800020319006,0.8033333706528396,21746
3,600,0.2317198884465016,0.7961900831627444,21746
4,800,0.24166973469479078,0.7891103419318343,21746
5,1000,0.2512315848291543,0.7818769091742378,21746
6,1200,0.26022327281230284,0.7742633719170499,21746
7,1400,0.2667628671218856,0.7677239196026934,21746
8,1600,0.2744311710818878,0.7617150314159707,21746
9,1800,0.2816810479042797,0.7562987208105023,21746
10,2000,0.2874490278396424,0.7503075740867128,21746
11,2200,0.29498088647874565,0.7436846557158846,21746
12,2400,0.3028442915354268,0.737530626830865,21746
13,2600,0.309370962377524,0.7319645547124336,21746
14,2800,0.31458464476659187,0.7261845059981539,21746
15,3000,0.32033222954017415,0.7206067670171055,21746
16,3200,0.3261548784956432,0.7148429940285967,21746
17,3400,0.33232290543909426,0.7083649362859493,21746
18,3600,0.3372111225382071,0.7037060819763208,21746
19,3800,0.34221123479554183,0.6988236996162436,21746
20,4000,0.34661597006590533,0.6940489584843511,21746
21,4200,0.351720707874629,0.6882258845479811,21746
22,4400,0.35564667104857745,0.6827477726262055,21746
23,4600,0.3597986054487066,0.6788002825972888,21746
24,4800,0.36397660240731544,0.6742608051266853,21746
25,5000,0.36740615100686247,0.6710279929751818,21746
26,5200,0.3707272374038191,0.6668098326584418,21746
27,5400,0.37464153772702524,0.6619940160140229,21746
28,5600,0.377927528981665,0.6580627721633806,21746
29,5800,0.3815160154377989,0.6539619763168489,21746
30,6000,0.3851682327055099,0.6499025802991842,21746
31,6200,0.38783074558567837,0.6458843492900364,21746
32,6400,0.3913506332339699,0.6418147193964432,21746
33,6600,0.3942146296165794,0.6371569401854477,21746
34,6800,0.3985780568741919,0.6337507888928567,21746
35,7000,0.4021830539417537,0.6303944004449714,21746
36,7200,0.4046493358559954,0.6274866875459001,21746
37,7400,0.4078085544300079,0.6246367740522213,21746
38,7600,0.4094291839123336,0.6210300615972467,21746
39,7800,0.4121534301700212,0.6175995112058044,21746
40,8000,0.41382807335437316,0.6153509028640849,21746
41,8200,0.4152798513164887,0.6126372889732872,21746
42,8400,0.4170455521448529,0.6104515310933799,21746
43,8600,0.4184809777403019,0.6078219398060788,21746
44,8800,0.4201047809685579,0.6046221886295597,21746
45,9000,0.4228163830658402,0.6012168583503898,21746
46,9200,0.42480105137192953,0.5984215308302119,21746
47,9400,0.4272391489245364,0.5947894822916794,21746
48,9600,0.42964193299672965,0.5915982291319831,21746
49,9800,0.43177772424885724,0.5889734126481048,21746
50,10000,0.4340968534053158,0.5864466461605873,21746
51,10200,0.435066017642188,0.5838456480264015,21746
52,10400,0.43687491945855317,0.5811447778401467,21746
53,10600,0.4397413858331129,0.5788173230431225,21746
54,10800,0.4412198778857302,0.5766312867123816,21746
55,11000,0.44356162816856354,0.5736729835047363,21746
56,11200,0.444806547253772,0.5723810008064975,21746
57,11400,0.44652966671434885,0.570773308854821,21746
58,11600,0.4485346615018256,0.5687728601996699,21746
59,11800,0.45030736773716123,0.5667051980444046,21746
60,12000,0.451418784925995,0.5651514046551847,21746
61,12200,0.45319151307059524,0.5638363194831304,21746
62,12400,0.45415432017042695,0.5622553741384181,21746
63,12600,0.45502284647355845,0.5611609145773262,21746
64,12800,0.4560521823442986,0.5594949584933708,21746
65,13000,0.45686407687303326,0.5581136077898566,21746
66,13200,0.45824810409477257,0.5555272506281032,21746
67,13400,0.4589025966162527,0.5539596251241639,21746
68,13600,0.46026182647621927,0.5521239462747243,21746
69,13800,0.46206028690525897,0.5507705714196918,21746
70,14000,0.4628864847282516,0.5486317137076336,21746
71,14200,0.46515600100279964,0.5478174285492674,21746
72,14400,0.4668107790462954,0.546782873033904,21746
73,14600,0.4664661340010377,0.5460793429211759,21746
74,14800,0.46756385533370015,0.5449061272200835,21746
75,15000,0.4674855736580225,0.5443214598076095,21746
76,15200,0.4678376699327656,0.543104716260327,21746
77,15400,0.46849209538701414,0.5417121933612552,21746
78,15600,0.4690686175325135,0.5407334956148404,21746
79,15800,0.4687039247635122,0.5391910416013314,21746
80,16000,0.46855675786955414,0.5395352622827004,21746
81,16200,0.4686265695396529,0.538857424887179,21746
82,16400,0.4689252903240616,0.5381064803976708,21746
83,16600,0.47058573362523115,0.5370254203052541,21746
84,16800,0.4709924570721815,0.5364875540483813,21746
85,17000,0.47092372895370604,0.5355107137222294,21746
86,17200,0.471474718429196,0.5357228863309292,21746
87,17400,0.47134575765257,0.5355997867147405,21746
88,17600,0.4730511351266904,0.5349126877892395,21746
89,17800,0.47325050166612626,0.5345344172651908,21746
90,18000,0.47414895937213763,0.5334361747263883,21746
91,18200,0.475133242461573,0.532646501517376,21746
92,18400,0.474990226251045,0.5324252009478067,21746
93,18600,0.4753105324330966,0.5319065004075058,21746
94,18800,0.4770523039195605,0.5311509197890325,21746
95,19000,0.4768092524550271,0.5316178412723733,21746
96,19200,0.4770526214793332,0.5311072525799565,21746
97,19400,0.47694843945197923,0.5305965187694595,21746
98,19600,0.4767231295222009,0.530333456165857,21746
99,19800,0.47698357170992944,0.5287326325719309,21746
100,20000,0.4783785031906044,0.5281877431024611,21746
101,20200,0.47954693052326064,0.5274984028163778,21746
102,20400,0.4788333694924348,0.5268402355830595,21746
103,20600,0.47853736195733465,0.5264971773155087,21746
104,20800,0.47898264053814105,0.5261822997240164,21746
105,21000,0.47927600517938157,0.5255314071160283,21746
106,21200,0.48027471616868134,0.5244551481966615,21746
107,21400,0.4813837284656163,0.5230405836152485,21746
108,21600,0.4821212086217457,0.5222191596873341,21746
109,21800,0.4840027934590296,0.5216222438905942,21746
110,22000,0.4843527790416734,0.5220236480015982,21746
111,22200,0.48454873773757884,0.5215807438188114,21746
112,22400,0.4848054848291279,0.5211824734836502,21746
113,22600,0.4852201869047888,0.5202438133043589,21746
114,22800,0.48664362500608016,0.5182409860741443,21746
115,23000,0.4873093679377128,0.517332845462915,21746
116,23200,0.48696376193928026,0.5168131587258626,21746
117,23400,0.48706882074812186,0.5160539265422724,21746
118,23600,0.48641687134437506,0.5161822313900847,21746
119,23800,0.4873995918113144,0.5155637105320042,21746
120,24000,0.48723998433949006,0.5148994069503116,21746
121,24200,0.4868182325047243,0.5141300418687486,21746
122,24400,0.4866148944769601,0.5140746204227239,21746
123,24600,0.48813169938339224,0.512997572414515,21746
124,24800,0.48860693678215505,0.512156132648342,21746
125,25000,0.4884567913373887,0.5117364149264183,21746
126,25200,0.4882387649393068,0.5120179223473595,21746
127,25400,0.48877256941599573,0.5120140921171218,21746
128,25600,0.488783582982511,0.5113788840719451,21746
129,25800,0.48936368374938016,0.5114727481595399,21746
130,26000,0.48953586197274873,0.5113986222892957,21746
131,26200,0.4893478302439888,0.5112934831288107,21746
132,26400,0.4892141396370261,0.5116889925320187,21746
133,26600,0.48890259354029547,0.5111463310945906,21746
134,26800,0.49076731365142234,0.5107176253524648,21746
135,27000,0.4897079457085085,0.5117476984409366,21746
136,27200,0.49071629856189763,0.5116165391805568,21746
