,time_ns,counts_singlet,counts_singlet_norm,fluorophore,condition,intended_signal,counts_triplet,counts_triplet_norm
70,8.75,20488.0,0.06463315761745676,mScarlet,40nmbeads,singlet,,
71,8.875,19821.0,0.06252898365558426,mScarlet,40nmbeads,singlet,,
72,9.0,19356.0,0.06106205578111543,mScarlet,40nmbeads,singlet,,
73,9.125,18423.0,0.05811873598137475,mScarlet,40nmbeads,singlet,,
74,9.25,17760.0,0.05602718075390629,mScarlet,40nmbeads,singlet,,
75,9.375,17160.0,0.05413437059330135,mScarlet,40nmbeads,singlet,,
76,9.5,16530.0,0.052146919924666156,mScarlet,40nmbeads,singlet,,
77,9.625,15818.0,0.04990078520074829,mScarlet,40nmbeads,singlet,,
78,9.75,15363.0,0.048465404162289547,mScarlet,40nmbeads,singlet,,
79,9.875,14698.0,0.04636753956761907,mScarlet,40nmbeads,singlet,,
80,10.0,14691.0,0.04634545678241201,mScarlet,40nmbeads,singlet,,
81,10.125,13905.0,0.04386587547201953,mScarlet,40nmbeads,singlet,,
82,10.25,13624.0,0.04297940938013622,mScarlet,40nmbeads,singlet,,
83,10.375,13113.0,0.04136736606002101,mScarlet,40nmbeads,singlet,,
84,10.5,12511.0,0.03946824653221405,mScarlet,40nmbeads,singlet,,
85,10.625,12119.0,0.03823161056061882,mScarlet,40nmbeads,singlet,,
86,10.75,11722.0,0.03697920117101855,mScarlet,40nmbeads,singlet,,
87,10.875,11504.0,0.036291480145998756,mScarlet,40nmbeads,singlet,,
88,11.0,11121.0,0.0350832363268126,mScarlet,40nmbeads,singlet,,
89,11.125,10401.0,0.03281186413408667,mScarlet,40nmbeads,singlet,,
90,11.25,10172.0,0.032089441589455786,mScarlet,40nmbeads,singlet,,
91,11.375,10035.0,0.031657249936117654,mScarlet,40nmbeads,singlet,,
92,11.5,9704.0,0.03061304966418393,mScarlet,40nmbeads,singlet,,
93,11.625,9316.0,0.029389032426992735,mScarlet,40nmbeads,singlet,,
94,11.75,9088.0,0.028669764565962857,mScarlet,40nmbeads,singlet,,
95,11.875,9019.0,0.028452091397493287,mScarlet,40nmbeads,singlet,,
96,12.0,8673.0,0.027360570871544438,mScarlet,40nmbeads,singlet,,
97,12.125,8596.0,0.027117660234266806,mScarlet,40nmbeads,singlet,,
98,12.25,9591.0,0.03025657041727,mScarlet,40nmbeads,singlet,,
99,12.375,11331.0,0.03574571988302433,mScarlet,40nmbeads,singlet,,
100,0.0,,,mScarlet,40nmbeads,triplet,792.7076190476191,0.05273920823548339
101,0.125,,,mScarlet,40nmbeads,triplet,780.7076190476191,0.051940842629276465
102,0.25,,,mScarlet,40nmbeads,triplet,776.7076190476191,0.051674720760540825
103,0.375,,,mScarlet,40nmbeads,triplet,777.7076190476191,0.05174125122772474
104,0.5,,,mScarlet,40nmbeads,triplet,758.7076190476191,0.05047717235123044
105,0.625,,,mScarlet,40nmbeads,triplet,739.7076190476191,0.04921309347473614
106,0.75,,,mScarlet,40nmbeads,triplet,1123.7076190476191,0.07476079287335774
107,0.875,,,mScarlet,40nmbeads,triplet,1276.7076190476191,0.08493995435249604
108,1.0,,,mScarlet,40nmbeads,triplet,767.7076190476191,0.05107594655588563
109,1.125,,,mScarlet,40nmbeads,triplet,718.7076190476191,0.04781595366387402
110,1.25,,,mScarlet,40nmbeads,triplet,709.7076190476191,0.04721717945921883
111,1.375,,,mScarlet,40nmbeads,triplet,692.7076190476191,0.04608616151709235
112,1.5,,,mScarlet,40nmbeads,triplet,611.7076190476191,0.04069719367519561
113,1.625,,,mScarlet,40nmbeads,triplet,602.7076190476191,0.04009841947054041
114,1.75,,,mScarlet,40nmbeads,triplet,612.7076190476191,0.04076372414237951
115,1.875,,,mScarlet,40nmbeads,triplet,555.7076190476191,0.03697148751289662
116,2.0,,,mScarlet,40nmbeads,triplet,578.7076190476191,0.03850168825812656
117,2.125,,,mScarlet,40nmbeads,triplet,522.707619047619,0.03477598209582757
118,2.25,,,mScarlet,40nmbeads,triplet,1058.7076190476191,0.07043631250640357
119,2.375,,,mScarlet,40nmbeads,triplet,3757.7076190476187,0.25000204343577775
120,2.5,,,mScarlet,40nmbeads,triplet,6838.707619047619,0.4549824128294058
121,2.625,,,mScarlet,40nmbeads,triplet,9848.707619047618,0.6552391190529762
122,2.75,,,mScarlet,40nmbeads,triplet,12680.707619047618,0.8436534021178105
123,2.875,,,mScarlet,40nmbeads,triplet,14621.707619047618,0.9727890389217806
124,3.0,,,mScarlet,40nmbeads,triplet,15030.707619047618,1.0
125,3.125,,,mScarlet,40nmbeads,triplet,14667.707619047618,0.9758494404122405
126,3.25,,,mScarlet,40nmbeads,triplet,14526.707619047618,0.9664686445393091
127,3.375,,,mScarlet,40nmbeads,triplet,14149.707619047618,0.9413866584109749
128,3.5,,,mScarlet,40nmbeads,triplet,13374.707619047618,0.8898255463434444
129,3.625,,,mScarlet,40nmbeads,triplet,13119.707619047618,0.8728602772115471
130,3.75,,,mScarlet,40nmbeads,triplet,12064.707619047618,0.8026706343325217
131,3.875,,,mScarlet,40nmbeads,triplet,11665.70761904762,0.7761249779261415
132,4.0,,,mScarlet,40nmbeads,triplet,11305.70761904762,0.7521740097399338
133,4.125,,,mScarlet,40nmbeads,triplet,10867.70761904762,0.723033665113381
134,4.25,,,mScarlet,40nmbeads,triplet,10269.70761904762,0.6832484457374026
135,4.375,,,mScarlet,40nmbeads,triplet,9706.70761904762,0.645791792712861
136,4.5,,,mScarlet,40nmbeads,triplet,9358.707619047618,0.6226391901328601
137,4.625,,,mScarlet,40nmbeads,triplet,8928.707619047618,0.5940310892437786
138,4.75,,,mScarlet,40nmbeads,triplet,8401.707619047618,0.5589695330378578
139,4.875,,,mScarlet,40nmbeads,triplet,8370.707619047618,0.5569070885551566
140,5.0,,,mScarlet,40nmbeads,triplet,7907.707619047618,0.526103482249006
141,5.125,,,mScarlet,40nmbeads,triplet,7533.707619047618,0.5012210875222235
142,5.25,,,mScarlet,40nmbeads,triplet,7304.707619047618,0.48598561053710804
143,5.375,,,mScarlet,40nmbeads,triplet,6877.707619047619,0.4575771010495783
144,5.5,,,mScarlet,40nmbeads,triplet,6688.707619047619,0.4450028427518193
145,5.625,,,mScarlet,40nmbeads,triplet,6417.707619047619,0.42697308614497953
146,5.75,,,mScarlet,40nmbeads,triplet,6207.707619047618,0.4130016880363583
147,5.875,,,mScarlet,40nmbeads,triplet,5890.707619047619,0.39191152993905876
148,6.0,,,mScarlet,40nmbeads,triplet,5669.707619047619,0.37720829669141454
149,6.125,,,mScarlet,40nmbeads,triplet,5438.707619047619,0.36183975877193125
150,6.25,,,mScarlet,40nmbeads,triplet,5146.707619047618,0.34241286235422935
151,6.375,,,mScarlet,40nmbeads,triplet,5059.707619047619,0.3366247117092292
152,6.5,,,mScarlet,40nmbeads,triplet,4745.707619047619,0.3157341450134813
153,6.625,,,mScarlet,40nmbeads,triplet,4701.707619047619,0.31280680445738923
154,6.75,,,mScarlet,40nmbeads,triplet,4542.707619047619,0.3022284601751475
155,6.875,,,mScarlet,40nmbeads,triplet,4192.707619047618,0.2789427966607788
156,7.0,,,mScarlet,40nmbeads,triplet,4067.707619047619,0.27062648826279007
157,7.125,,,mScarlet,40nmbeads,triplet,3899.7076190476187,0.25944936977589306
158,7.25,,,mScarlet,40nmbeads,triplet,3829.707619047619,0.25479223707301935
159,7.375,,,mScarlet,40nmbeads,triplet,3760.707619047619,0.25020163483732955
160,7.5,,,mScarlet,40nmbeads,triplet,3516.707619047619,0.2339682008444554
161,7.625,,,mScarlet,40nmbeads,triplet,3470.707619047619,0.23090779935399552
162,7.75,,,mScarlet,40nmbeads,triplet,3322.7076190476187,0.22106129021077675
163,7.875,,,mScarlet,40nmbeads,triplet,3162.7076190476187,0.21041641546135106
164,8.0,,,mScarlet,40nmbeads,triplet,3109.707619047619,0.20689030070060385
165,8.125,,,mScarlet,40nmbeads,triplet,2914.707619047619,0.1939168595997413
166,8.25,,,mScarlet,40nmbeads,triplet,2820.707619047619,0.18766299568445374
167,8.375,,,mScarlet,40nmbeads,triplet,2689.707619047619,0.17894750448336147
168,8.5,,,mScarlet,40nmbeads,triplet,2596.707619047619,0.17276017103525781
169,8.625,,,mScarlet,40nmbeads,triplet,2512.707619047619,0.16717161179180934
170,8.75,,,mScarlet,40nmbeads,triplet,2436.707619047619,0.16211529628583213
171,8.875,,,mScarlet,40nmbeads,triplet,2392.707619047619,0.15918795572974007
172,9.0,,,mScarlet,40nmbeads,triplet,2259.707619047619,0.15033940359428
173,9.125,,,mScarlet,40nmbeads,triplet,2170.707619047619,0.14441819201491196
174,9.25,,,mScarlet,40nmbeads,triplet,2089.707619047619,0.13902922417301522
175,9.375,,,mScarlet,40nmbeads,triplet,2111.707619047619,0.14049289445106125
176,9.5,,,mScarlet,40nmbeads,triplet,1942.7076190476191,0.12924924549698039
177,9.625,,,mScarlet,40nmbeads,triplet,1858.7076190476191,0.12366068625353191
178,9.75,,,mScarlet,40nmbeads,triplet,1817.7076190476191,0.12093293709899158
179,9.875,,,mScarlet,40nmbeads,triplet,1772.7076190476191,0.11793906607571561
180,10.0,,,mScarlet,40nmbeads,triplet,1715.7076190476191,0.11414682944623272
181,10.125,,,mScarlet,40nmbeads,triplet,1754.7076190476191,0.11674151766640523
182,10.25,,,mScarlet,40nmbeads,triplet,1456.7076190476191,0.09691543844559991
183,10.375,,,mScarlet,40nmbeads,triplet,1475.7076190476191,0.09817951732209422
184,10.5,,,mScarlet,40nmbeads,triplet,1506.7076190476191,0.10024196180479544
185,10.625,,,mScarlet,40nmbeads,triplet,1442.7076190476191,0.09598401190502517
186,10.75,,,mScarlet,40nmbeads,triplet,1444.7076190476191,0.096117072839393
187,10.875,,,mScarlet,40nmbeads,triplet,1344.7076190476191,0.08946402612100195
188,11.0,,,mScarlet,40nmbeads,triplet,1308.7076190476191,0.08706892930238118
189,11.125,,,mScarlet,40nmbeads,triplet,1230.7076190476191,0.08187955286203616
190,11.25,,,mScarlet,40nmbeads,triplet,1250.7076190476191,0.08321016220571437
191,11.375,,,mScarlet,40nmbeads,triplet,1206.7076190476191,0.0802828216496223
192,11.5,,,mScarlet,40nmbeads,triplet,1069.7076190476191,0.07116814764542657
193,11.625,,,mScarlet,40nmbeads,triplet,1031.7076190476191,0.06863998989243798
194,11.75,,,mScarlet,40nmbeads,triplet,1024.7076190476191,0.06817427662215061
195,11.875,,,mScarlet,40nmbeads,triplet,993.7076190476191,0.06611183213944939
196,12.0,,,mScarlet,40nmbeads,triplet,947.7076190476191,0.0630514306489895
197,12.125,,,mScarlet,40nmbeads,triplet,898.7076190476191,0.0597914377569779
198,12.25,,,mScarlet,40nmbeads,triplet,919.7076190476191,0.06118857756784002
199,12.375,,,mScarlet,40nmbeads,triplet,899.7076190476191,0.059857968224161805
