,type,a1,t1,a1_std,t1_std,a2,t2,a2_std,t2_std,t_avg
0,prompt,167469.40121253955,3.9696178152795976,10989.041177634457,0.006055187435152803,408360.0038639535,1.6719083172575788,8738.673116244589,0.011857597069703171,2.3401549027944815
1,triggered,41897.99467038484,3.033681691175696,455.4278295449878,0.002227977407484841,,,,,
