,x,y,diff_time_ns,delay_time_ns,replicate,n_fluorophores,triplet_QY
118,2822,1029,900,6400,1,100000.0,0.5
119,2802,1079,900,6400,2,100000.0,0.5
120,2839,1052,900,6400,3,100000.0,0.5
121,2820,1087,900,6400,4,100000.0,0.5
122,2787,1077,900,6400,5,100000.0,0.5
123,2882,1038,900,6400,6,100000.0,0.5
124,2807,1035,900,6400,7,100000.0,0.5
125,2848,1090,900,6400,8,100000.0,0.5
126,1702,1377,3000,100,0,100000.0,0.5
127,1716,1408,3000,100,1,100000.0,0.5
128,1642,1420,3000,100,2,100000.0,0.5
129,1658,1347,3000,100,3,100000.0,0.5
130,1600,1361,3000,100,4,100000.0,0.5
131,1661,1396,3000,100,5,100000.0,0.5
132,1612,1378,3000,100,6,100000.0,0.5
133,1558,1366,3000,100,7,100000.0,0.5
134,1548,1346,3000,100,8,100000.0,0.5
135,1742,1354,3000,200,0,100000.0,0.5
136,1726,1354,3000,200,1,100000.0,0.5
137,1745,1336,3000,200,2,100000.0,0.5
138,1744,1360,3000,200,3,100000.0,0.5
139,1703,1283,3000,200,4,100000.0,0.5
140,1795,1307,3000,200,5,100000.0,0.5
141,1738,1341,3000,200,6,100000.0,0.5
142,1801,1317,3000,200,7,100000.0,0.5
143,1694,1325,3000,200,8,100000.0,0.5
144,1921,1302,3000,400,0,100000.0,0.5
145,2036,1245,3000,400,1,100000.0,0.5
146,1937,1260,3000,400,2,100000.0,0.5
147,2007,1252,3000,400,3,100000.0,0.5
148,2006,1315,3000,400,4,100000.0,0.5
149,1872,1285,3000,400,5,100000.0,0.5
150,1970,1294,3000,400,6,100000.0,0.5
151,1978,1313,3000,400,7,100000.0,0.5
152,1952,1310,3000,400,8,100000.0,0.5
153,2286,1210,3000,800,0,100000.0,0.5
154,2244,1199,3000,800,1,100000.0,0.5
155,2167,1225,3000,800,2,100000.0,0.5
156,2246,1175,3000,800,3,100000.0,0.5
157,2294,1209,3000,800,4,100000.0,0.5
158,2181,1133,3000,800,5,100000.0,0.5
159,2169,1212,3000,800,6,100000.0,0.5
160,2222,1270,3000,800,7,100000.0,0.5
161,2302,1207,3000,800,8,100000.0,0.5
162,2584,1146,3000,1600,0,100000.0,0.5
163,2482,1149,3000,1600,1,100000.0,0.5
164,2451,1128,3000,1600,2,100000.0,0.5
165,2563,1161,3000,1600,3,100000.0,0.5
166,2506,1086,3000,1600,4,100000.0,0.5
167,2528,1130,3000,1600,5,100000.0,0.5
168,2569,1132,3000,1600,6,100000.0,0.5
169,2617,1132,3000,1600,7,100000.0,0.5
170,2603,1159,3000,1600,8,100000.0,0.5
171,2763,1050,3000,3200,0,100000.0,0.5
172,2713,1086,3000,3200,1,100000.0,0.5
173,2708,1061,3000,3200,2,100000.0,0.5
174,2750,1089,3000,3200,3,100000.0,0.5
175,2815,1080,3000,3200,4,100000.0,0.5
176,2755,1086,3000,3200,5,100000.0,0.5
177,2760,1028,3000,3200,6,100000.0,0.5
178,2722,1013,3000,3200,7,100000.0,0.5
179,2770,1052,3000,3200,8,100000.0,0.5
180,2791,1061,3000,6400,0,100000.0,0.5
181,2809,1067,3000,6400,1,100000.0,0.5
182,2914,1085,3000,6400,2,100000.0,0.5
183,2777,1053,3000,6400,3,100000.0,0.5
184,2773,1043,3000,6400,4,100000.0,0.5
185,2834,1021,3000,6400,5,100000.0,0.5
186,2751,1053,3000,6400,6,100000.0,0.5
187,2826,1043,3000,6400,7,100000.0,0.5
188,2862,1066,3000,6400,8,100000.0,0.5
