,x,y,delay_time_ns,diff_time_ns,entry,polarization
0,1850,1018,100,450,0,0.2900976290097629
1,2036,939,200,450,0,0.36873949579831933
2,2157,967,400,450,0,0.38092189500640206
3,2224,884,800,450,0,0.43114543114543114
4,2184,938,1600,450,0,0.3991031390134529
5,2222,914,3200,450,0,0.41709183673469385
6,2293,892,6400,450,0,0.4398744113029827
7,1794,1074,100,450,1,0.2510460251046025
8,2034,995,200,450,1,0.3430174975239353
9,2259,960,400,450,1,0.40354147250698974
10,2265,892,800,450,1,0.43490655685777635
11,2270,918,1600,450,1,0.424090338770389
12,2110,888,3200,450,1,0.4076050700466978
13,2198,933,6400,450,1,0.40402427339508146
14,1793,970,100,450,2,0.2978646398841839
15,2057,1033,200,450,2,0.3313915857605178
16,2218,933,400,450,2,0.4078070453824183
17,2223,919,800,450,2,0.41502227880331
18,2173,949,1600,450,2,0.3920563741191544
19,2203,922,3200,450,2,0.40992
20,2312,913,6400,450,2,0.4337984496124031
21,1549,1143,100,900,0,0.15081723625557206
22,1678,992,200,900,0,0.25692883895131086
23,1906,949,400,900,0,0.3352014010507881
24,2163,929,800,900,0,0.39909443725743854
25,2270,885,1600,900,0,0.43898573692551507
26,2230,931,3200,900,0,0.4109459031951914
27,2259,921,6400,900,0,0.4207547169811321
28,1456,1181,100,900,1,0.10428517254455821
29,1857,1058,200,900,1,0.27409948542024015
30,1913,955,400,900,1,0.33403068340306835
31,2030,958,800,900,1,0.35876840696117807
32,2179,878,1600,900,1,0.4255806346090939
33,2275,902,3200,900,1,0.43216871262197043
34,2173,888,6400,900,1,0.41979745181313294
35,1523,1139,100,900,2,0.14425244177310292
36,1699,1112,200,900,2,0.2088224831020989
37,1905,1031,400,900,2,0.29768392370572205
38,2237,874,800,900,2,0.43812279009964644
39,2212,885,1600,900,2,0.4284791733936067
40,2264,942,3200,900,2,0.41235184029943855
41,2287,951,6400,900,2,0.4126003705991353
42,1292,1153,100,3000,0,0.05685071574642127
43,1332,1117,200,3000,0,0.08779093507554103
44,1519,1131,400,3000,0,0.14641509433962263
45,1706,1033,800,3000,0,0.2457101131799927
46,1907,936,1600,3000,0,0.341540626099191
47,2103,905,3200,3000,0,0.3982712765957447
48,2186,917,6400,3000,0,0.40895907186593616
49,1179,1205,100,3000,1,-0.010906040268456376
50,1347,1155,200,3000,1,0.07673860911270983
51,1471,1097,400,3000,1,0.14563862928348908
52,1698,1041,800,3000,1,0.23986856516976998
53,2010,939,1600,3000,1,0.3631739572736521
54,2101,893,3200,3000,1,0.4034736138944556
55,2103,923,6400,3000,1,0.38995373430270985
56,1192,1189,100,3000,2,0.00125997480050399
57,1224,1143,200,3000,2,0.034220532319391636
58,1480,1064,400,3000,2,0.16352201257861634
59,1748,1047,800,3000,2,0.25080500894454383
60,1930,981,1600,3000,2,0.3260048093438681
61,2189,853,3200,3000,2,0.43918474687705455
62,2225,872,6400,3000,2,0.43687439457539556
63,1509,1173,100,450-3000,0,0.12527964205816555
64,1604,1099,200,450-3000,0,0.18682944876063634
65,1835,1004,400,450-3000,0,0.2927087002465657
66,2019,1001,800,450-3000,0,0.33708609271523177
67,2084,937,1600,450-3000,0,0.3796756041046011
68,2143,926,3200,450-3000,0,0.3965461062235256
69,2190,933,6400,450-3000,0,0.4024975984630163
70,1470,1147,100,450-3000,1,0.12342376767290791
71,1657,1123,200,450-3000,1,0.1920863309352518
72,1788,1011,400,450-3000,1,0.27759914255091106
73,1968,937,800,450-3000,1,0.3549053356282272
74,2047,935,1600,450-3000,1,0.37290409121395035
75,2190,856,3200,450-3000,1,0.43795141168745894
76,2212,930,6400,450-3000,1,0.40802036919159773
77,1595,1151,100,450-3000,2,0.1616897305171158
78,1591,1072,200,450-3000,2,0.19489297784453624
79,1859,1016,400,450-3000,2,0.2932173913043478
80,1968,1003,800,450-3000,2,0.3248064624705486
81,2113,942,1600,450-3000,2,0.3833060556464812
82,2125,941,3200,450-3000,2,0.3861709067188519
83,2215,936,6400,450-3000,2,0.40590288797207236
