,diffusion_time_ns,delay_us,crescent_saturation,counts_x,counts_y,replicate
145,21746,300,6.25,979,2330,1
146,21746,300,6.25,1028,2266,2
147,21746,300,6.25,1014,2285,3
148,21746,300,6.25,1041,2178,4
149,21746,300,6.25,1060,2295,5
150,21746,360,0.01,3795,8628,0
151,21746,360,0.01,3834,8540,1
152,21746,360,0.01,3877,8423,2
153,21746,360,0.01,3895,8450,3
154,21746,360,0.01,3732,8325,4
155,21746,360,0.01,3768,8426,5
156,21746,360,0.05,3641,8128,0
157,21746,360,0.05,3618,7919,1
158,21746,360,0.05,3664,8036,2
159,21746,360,0.05,3587,8099,3
160,21746,360,0.05,3593,8167,4
161,21746,360,0.05,3769,8011,5
162,21746,360,0.25,3048,6722,0
163,21746,360,0.25,3011,6640,1
164,21746,360,0.25,3001,6622,2
165,21746,360,0.25,3039,6823,3
166,21746,360,0.25,3127,6745,4
167,21746,360,0.25,3073,6632,5
168,21746,360,1.25,1903,4202,0
169,21746,360,1.25,1889,4161,1
170,21746,360,1.25,1898,4193,2
171,21746,360,1.25,1999,4246,3
172,21746,360,1.25,1914,4241,4
173,21746,360,1.25,1853,4176,5
174,21746,360,6.25,962,2273,0
175,21746,360,6.25,929,2219,1
176,21746,360,6.25,1008,2246,2
177,21746,360,6.25,922,2191,3
178,21746,360,6.25,916,2140,4
179,21746,360,6.25,948,2112,5
180,21746,420,0.01,3655,7901,0
181,21746,420,0.01,3630,7948,1
182,21746,420,0.01,3645,7875,2
183,21746,420,0.01,3435,8067,3
184,21746,420,0.01,3697,8032,4
185,21746,420,0.01,3673,7951,5
186,21746,420,0.05,3412,7678,0
187,21746,420,0.05,3432,7721,1
188,21746,420,0.05,3332,7630,2
189,21746,420,0.05,3431,7723,3
190,21746,420,0.05,3506,7520,4
191,21746,420,0.05,3505,7848,5
192,21746,420,0.25,2878,6231,0
193,21746,420,0.25,2868,6321,1
194,21746,420,0.25,2784,6402,2
195,21746,420,0.25,2808,6208,3
196,21746,420,0.25,2876,6363,4
197,21746,420,0.25,2914,6443,5
198,21746,420,1.25,1812,3967,0
199,21746,420,1.25,1810,3863,1
200,21746,420,1.25,1805,3894,2
201,21746,420,1.25,1844,3928,3
202,21746,420,1.25,1761,3995,4
203,21746,420,1.25,1775,4018,5
204,21746,420,6.25,887,2043,0
205,21746,420,6.25,869,2032,1
206,21746,420,6.25,959,2054,2
207,21746,420,6.25,903,2033,3
208,21746,420,6.25,915,2066,4
209,21746,420,6.25,922,1926,5
210,21746,480,0.01,3452,7604,0
211,21746,480,0.01,3404,7611,1
212,21746,480,0.01,3316,7575,2
213,21746,480,0.01,3360,7572,3
214,21746,480,0.01,3481,7687,4
215,21746,480,0.01,3369,7502,5
216,21746,480,0.05,3261,7256,0
217,21746,480,0.05,3188,7092,1
218,21746,480,0.05,3191,7138,2
219,21746,480,0.05,3142,7271,3
220,21746,480,0.05,3185,7076,4
221,21746,480,0.05,3128,7198,5
222,21746,480,0.25,2675,5889,0
223,21746,480,0.25,2668,5947,1
224,21746,480,0.25,2671,5946,2
225,21746,480,0.25,2685,6045,3
226,21746,480,0.25,2684,6008,4
227,21746,480,0.25,2725,5976,5
228,21746,480,1.25,1659,3759,0
229,21746,480,1.25,1607,3720,1
230,21746,480,1.25,1724,3742,2
231,21746,480,1.25,1720,3734,3
232,21746,480,1.25,1655,3789,4
233,21746,480,1.25,1705,3800,5
234,21746,480,6.25,874,1942,0
235,21746,480,6.25,870,1915,1
236,21746,480,6.25,902,1927,2
237,21746,480,6.25,835,1963,3
238,21746,480,6.25,865,1903,4
239,21746,480,6.25,914,1981,5
240,21746,540,0.01,3162,7162,0
241,21746,540,0.01,3167,7009,1
242,21746,540,0.01,3119,6938,2
243,21746,540,0.01,3171,7061,3
244,21746,540,0.01,3293,7057,4
245,21746,540,0.01,3178,7113,5
246,21746,540,0.05,3045,6774,0
247,21746,540,0.05,3207,6835,1
248,21746,540,0.05,3137,6819,2
249,21746,540,0.05,3020,6801,3
250,21746,540,0.05,3129,6846,4
251,21746,540,0.05,3081,6723,5
252,21746,540,0.25,2527,5690,0
253,21746,540,0.25,2561,5539,1
254,21746,540,0.25,2616,5631,2
255,21746,540,0.25,2531,5538,3
256,21746,540,0.25,2459,5623,4
257,21746,540,0.25,2531,5688,5
258,21746,540,1.25,1612,3510,0
259,21746,540,1.25,1593,3586,1
260,21746,540,1.25,1630,3497,2
261,21746,540,1.25,1564,3542,3
262,21746,540,1.25,1528,3597,4
263,21746,540,1.25,1593,3586,5
264,21746,540,6.25,844,1809,0
265,21746,540,6.25,799,1733,1
266,21746,540,6.25,799,1764,2
267,21746,540,6.25,796,1822,3
268,21746,540,6.25,841,1798,4
269,21746,540,6.25,882,1745,5
270,21746,600,0.01,2994,6687,0
271,21746,600,0.01,3096,6780,1
272,21746,600,0.01,2983,6699,2
273,21746,600,0.01,3091,6485,3
274,21746,600,0.01,2983,6579,4
275,21746,600,0.01,2984,6690,5
276,21746,600,0.05,2944,6376,0
277,21746,600,0.05,2812,6519,1
278,21746,600,0.05,2766,6303,2
279,21746,600,0.05,2950,6276,3
280,21746,600,0.05,2893,6363,4
281,21746,600,0.05,2902,6388,5
282,21746,600,0.25,2378,5206,0
283,21746,600,0.25,2404,5264,1
284,21746,600,0.25,2400,5249,2
285,21746,600,0.25,2416,5176,3
286,21746,600,0.25,2341,5213,4
287,21746,600,0.25,2425,5385,5
288,21746,600,1.25,1467,3327,0
289,21746,600,1.25,1490,3261,1
290,21746,600,1.25,1504,3303,2
291,21746,600,1.25,1534,3361,3
292,21746,600,1.25,1484,3331,4
293,21746,600,1.25,1532,3348,5
294,21746,600,6.25,787,1771,0
295,21746,600,6.25,761,1653,1
296,21746,600,6.25,833,1740,2
297,21746,600,6.25,809,1644,3
298,21746,600,6.25,843,1730,4
299,21746,600,6.25,724,1774,5
300,21746,660,0.01,2840,6307,0
301,21746,660,0.01,2724,6207,1
302,21746,660,0.01,2875,6366,2
303,21746,660,0.01,2859,6143,3
304,21746,660,0.01,2858,6390,4
305,21746,660,0.01,2834,6221,5
306,21746,660,0.05,2686,5962,0
307,21746,660,0.05,2637,5976,1
308,21746,660,0.05,2717,5966,2
309,21746,660,0.05,2613,6040,3
310,21746,660,0.05,2689,6018,4
311,21746,660,0.05,2676,5907,5
312,21746,660,0.25,2277,4976,0
313,21746,660,0.25,2225,4913,1
314,21746,660,0.25,2198,5022,2
315,21746,660,0.25,2197,4881,3
316,21746,660,0.25,2237,4967,4
317,21746,660,0.25,2211,4953,5
318,21746,660,1.25,1437,3225,0
319,21746,660,1.25,1405,3022,1
320,21746,660,1.25,1401,3110,2
321,21746,660,1.25,1445,3047,3
322,21746,660,1.25,1362,3069,4
323,21746,660,1.25,1451,3044,5
324,21746,660,6.25,720,1605,0
325,21746,660,6.25,723,1668,1
326,21746,660,6.25,744,1580,2
327,21746,660,6.25,706,1660,3
328,21746,660,6.25,691,1582,4
329,21746,660,6.25,770,1603,5
330,21746,720,0.01,2630,5928,0
331,21746,720,0.01,2695,5822,1
332,21746,720,0.01,2657,5965,2
333,21746,720,0.01,2673,5996,3
334,21746,720,0.01,2706,5936,4
335,21746,720,0.01,2657,5883,5
336,21746,720,0.05,2577,5626,0
337,21746,720,0.05,2542,5486,1
338,21746,720,0.05,2576,5715,2
339,21746,720,0.05,2539,5627,3
340,21746,720,0.05,2596,5527,4
341,21746,720,0.05,2544,5604,5
342,21746,720,0.25,2166,4792,0
343,21746,720,0.25,2147,4616,1
344,21746,720,0.25,2131,4633,2
345,21746,720,0.25,2075,4648,3
346,21746,720,0.25,2073,4638,4
347,21746,720,0.25,2200,4724,5
348,21746,720,1.25,1340,3001,0
349,21746,720,1.25,1366,3078,1
350,21746,720,1.25,1342,2916,2
351,21746,720,1.25,1313,2914,3
352,21746,720,1.25,1384,2897,4
353,21746,720,1.25,1306,2970,5
354,21746,720,6.25,639,1450,0
355,21746,720,6.25,699,1517,1
356,21746,720,6.25,638,1499,2
357,21746,720,6.25,715,1621,3
358,21746,720,6.25,689,1473,4
359,21746,720,6.25,701,1400,5
360,21746,780,0.01,2537,5703,0
361,21746,780,0.01,2577,5614,1
362,21746,780,0.01,2449,5544,2
363,21746,780,0.01,2487,5519,3
364,21746,780,0.01,2536,5648,4
365,21746,780,0.01,2523,5678,5
366,21746,780,0.05,2432,5282,0
367,21746,780,0.05,2429,5364,1
368,21746,780,0.05,2483,5330,2
369,21746,780,0.05,2415,5333,3
370,21746,780,0.05,2405,5317,4
371,21746,780,0.05,2439,5318,5
372,21746,780,0.25,1945,4371,0
373,21746,780,0.25,2038,4317,1
374,21746,780,0.25,2035,4388,2
375,21746,780,0.25,1946,4510,3
376,21746,780,0.25,2051,4515,4
377,21746,780,0.25,2047,4338,5
378,21746,780,1.25,1186,2806,0
379,21746,780,1.25,1196,2804,1
380,21746,780,1.25,1195,2813,2
381,21746,780,1.25,1253,2819,3
382,21746,780,1.25,1199,2813,4
383,21746,780,1.25,1191,2757,5
384,21746,780,6.25,617,1392,0
385,21746,780,6.25,654,1442,1
386,21746,780,6.25,633,1448,2
387,21746,780,6.25,620,1417,3
388,21746,780,6.25,624,1373,4
389,21746,780,6.25,697,1381,5
390,21746,840,0.01,2366,5294,0
391,21746,840,0.01,2466,5328,1
392,21746,840,0.01,2356,5232,2
393,21746,840,0.01,2435,5409,3
394,21746,840,0.01,2400,5261,4
395,21746,840,0.01,2317,5222,5
396,21746,840,0.05,2228,4980,0
397,21746,840,0.05,2273,4913,1
398,21746,840,0.05,2228,4902,2
399,21746,840,0.05,2311,5018,3
400,21746,840,0.05,2229,4953,4
401,21746,840,0.05,2242,4934,5
402,21746,840,0.25,1889,4204,0
403,21746,840,0.25,1827,4261,1
404,21746,840,0.25,1744,4084,2
405,21746,840,0.25,1877,4155,3
406,21746,840,0.25,1881,4220,4
407,21746,840,0.25,1790,4095,5
408,21746,840,1.25,1230,2633,0
409,21746,840,1.25,1145,2668,1
410,21746,840,1.25,1153,2685,2
411,21746,840,1.25,1182,2573,3
412,21746,840,1.25,1144,2629,4
413,21746,840,1.25,1201,2559,5
414,21746,840,6.25,600,1341,0
415,21746,840,6.25,608,1364,1
416,21746,840,6.25,584,1341,2
417,21746,840,6.25,580,1382,3
418,21746,840,6.25,601,1358,4
419,21746,840,6.25,651,1322,5
420,21746,900,0.01,2302,4989,0
421,21746,900,0.01,2237,4980,1
422,21746,900,0.01,2225,4985,2
423,21746,900,0.01,2240,5058,3
424,21746,900,0.01,2215,4843,4
425,21746,900,0.01,2221,4948,5
426,21746,900,0.05,2180,4712,0
427,21746,900,0.05,2138,4779,1
428,21746,900,0.05,2129,4764,2
429,21746,900,0.05,2161,4650,3
430,21746,900,0.05,2020,4713,4
431,21746,900,0.05,2122,4690,5
432,21746,900,0.25,1778,3937,0
433,21746,900,0.25,1746,3894,1
434,21746,900,0.25,1856,3834,2
435,21746,900,0.25,1780,3830,3
436,21746,900,0.25,1804,3901,4
437,21746,900,0.25,1797,3973,5
438,21746,900,1.25,1099,2441,0
439,21746,900,1.25,1100,2419,1
440,21746,900,1.25,1104,2395,2
441,21746,900,1.25,1050,2517,3
442,21746,900,1.25,1131,2438,4
443,21746,900,1.25,1111,2450,5
444,21746,900,6.25,550,1206,0
445,21746,900,6.25,577,1279,1
446,21746,900,6.25,606,1257,2
447,21746,900,6.25,513,1274,3
448,21746,900,6.25,609,1270,4
449,21746,900,6.25,577,1266,5
450,73394,60,0.01,5340,10950,0
451,73394,60,0.01,5265,11140,1
452,73394,60,0.01,5163,11079,2
453,73394,60,0.01,5354,11051,3
454,73394,60,0.01,5295,11048,4
455,73394,60,0.01,5358,10857,5
456,73394,60,0.05,5044,10676,0
457,73394,60,0.05,5169,10483,1
458,73394,60,0.05,5132,10497,2
459,73394,60,0.05,5118,10473,3
460,73394,60,0.05,5101,10421,4
461,73394,60,0.05,4978,10541,5
462,73394,60,0.25,4190,8676,0
463,73394,60,0.25,4253,8606,1
464,73394,60,0.25,4269,8609,2
465,73394,60,0.25,4182,8399,3
466,73394,60,0.25,4223,8383,4
467,73394,60,0.25,4129,8487,5
468,73394,60,1.25,2645,5266,0
469,73394,60,1.25,2622,5261,1
470,73394,60,1.25,2673,5233,2
471,73394,60,1.25,2636,5425,3
472,73394,60,1.25,2693,5237,4
473,73394,60,1.25,2631,5377,5
474,73394,60,6.25,1394,2676,0
475,73394,60,6.25,1388,2699,1
476,73394,60,6.25,1378,2719,2
477,73394,60,6.25,1351,2683,3
478,73394,60,6.25,1358,2688,4
479,73394,60,6.25,1337,2633,5
480,73394,120,0.01,4848,10818,0
481,73394,120,0.01,4924,10783,1
482,73394,120,0.01,4909,10715,2
483,73394,120,0.01,4828,10609,3
484,73394,120,0.01,4832,10876,4
485,73394,120,0.01,4755,10910,5
486,73394,120,0.05,4699,10230,0
487,73394,120,0.05,4652,10292,1
488,73394,120,0.05,4692,10224,2
489,73394,120,0.05,4696,10296,3
490,73394,120,0.05,4692,10224,4
491,73394,120,0.05,4699,10218,5
492,73394,120,0.25,3846,8485,0
493,73394,120,0.25,3835,8426,1
494,73394,120,0.25,3894,8408,2
495,73394,120,0.25,3830,8531,3
496,73394,120,0.25,3925,8387,4
497,73394,120,0.25,3781,8498,5
498,73394,120,1.25,2421,5238,0
499,73394,120,1.25,2427,5352,1
500,73394,120,1.25,2399,5395,2
501,73394,120,1.25,2463,5461,3
502,73394,120,1.25,2483,5311,4
503,73394,120,1.25,2397,5259,5
504,73394,120,6.25,1261,2750,0
505,73394,120,6.25,1243,2873,1
506,73394,120,6.25,1232,2859,2
507,73394,120,6.25,1248,2837,3
508,73394,120,6.25,1298,2819,4
509,73394,120,6.25,1277,2693,5
510,73394,180,0.01,4519,10272,0
511,73394,180,0.01,4596,10137,1
512,73394,180,0.01,4500,10086,2
513,73394,180,0.01,4600,10245,3
514,73394,180,0.01,4701,10105,4
515,73394,180,0.01,4518,10131,5
516,73394,180,0.05,4348,9559,0
517,73394,180,0.05,4340,9807,1
518,73394,180,0.05,4238,9630,2
519,73394,180,0.05,4365,9551,3
520,73394,180,0.05,4374,9711,4
521,73394,180,0.05,4337,9683,5
522,73394,180,0.25,3671,7996,0
523,73394,180,0.25,3598,7949,1
524,73394,180,0.25,3634,8165,2
525,73394,180,0.25,3599,8021,3
526,73394,180,0.25,3679,7957,4
527,73394,180,0.25,3653,8073,5
528,73394,180,1.25,2343,5100,0
529,73394,180,1.25,2265,5160,1
530,73394,180,1.25,2306,5082,2
531,73394,180,1.25,2203,5146,3
532,73394,180,1.25,2271,5063,4
533,73394,180,1.25,2262,5057,5
534,73394,180,6.25,1160,2595,0
535,73394,180,6.25,1132,2621,1
536,73394,180,6.25,1222,2597,2
537,73394,180,6.25,1112,2618,3
538,73394,180,6.25,1215,2590,4
539,73394,180,6.25,1208,2632,5
540,73394,240,0.01,4309,9588,0
541,73394,240,0.01,4414,9721,1
542,73394,240,0.01,4350,9619,2
543,73394,240,0.01,4399,9497,3
544,73394,240,0.01,4247,9630,4
545,73394,240,0.01,4273,9518,5
546,73394,240,0.05,4163,8924,0
547,73394,240,0.05,4091,9102,1
548,73394,240,0.05,4152,9275,2
549,73394,240,0.05,4073,9183,3
550,73394,240,0.05,4054,9314,4
551,73394,240,0.05,4153,9129,5
552,73394,240,0.25,3346,7551,0
553,73394,240,0.25,3348,7570,1
554,73394,240,0.25,3484,7616,2
555,73394,240,0.25,3485,7242,3
556,73394,240,0.25,3314,7546,4
557,73394,240,0.25,3514,7428,5
558,73394,240,1.25,2187,4831,0
559,73394,240,1.25,2160,4676,1
560,73394,240,1.25,2189,4759,2
561,73394,240,1.25,2072,4882,3
562,73394,240,1.25,2218,4744,4
563,73394,240,1.25,2146,4677,5
564,73394,240,6.25,1107,2486,0
565,73394,240,6.25,1126,2440,1
566,73394,240,6.25,1117,2515,2
567,73394,240,6.25,1058,2473,3
568,73394,240,6.25,1127,2495,4
569,73394,240,6.25,1099,2427,5
570,73394,300,0.01,4090,9013,0
571,73394,300,0.01,4140,8752,1
572,73394,300,0.01,4193,9193,2
573,73394,300,0.01,4093,9017,3
574,73394,300,0.01,4035,9021,4
575,73394,300,0.01,4143,8905,5
576,73394,300,0.05,3872,8535,0
577,73394,300,0.05,3823,8581,1
578,73394,300,0.05,3918,8373,2
579,73394,300,0.05,3876,8463,3
580,73394,300,0.05,3879,8710,4
581,73394,300,0.05,3832,8553,5
582,73394,300,0.25,3307,7169,0
583,73394,300,0.25,3230,6979,1
584,73394,300,0.25,3271,7195,2
585,73394,300,0.25,3228,7120,3
586,73394,300,0.25,3173,7165,4
587,73394,300,0.25,3305,7264,5
588,73394,300,1.25,2007,4454,0
589,73394,300,1.25,2142,4503,1
590,73394,300,1.25,2034,4493,2
591,73394,300,1.25,2031,4472,3
592,73394,300,1.25,1982,4402,4
593,73394,300,1.25,2017,4500,5
594,73394,300,6.25,1062,2356,0
595,73394,300,6.25,1072,2334,1
596,73394,300,6.25,1060,2324,2
597,73394,300,6.25,1101,2321,3
598,73394,300,6.25,1066,2366,4
599,73394,300,6.25,1088,2321,5
600,73394,360,0.01,3816,8500,0
601,73394,360,0.01,3857,8353,1
602,73394,360,0.01,3820,8405,2
603,73394,360,0.01,3819,8384,3
604,73394,360,0.01,3892,8373,4
605,73394,360,0.01,3851,8364,5
606,73394,360,0.05,3735,7991,0
607,73394,360,0.05,3636,8083,1
608,73394,360,0.05,3627,8096,2
609,73394,360,0.05,3624,8066,3
610,73394,360,0.05,3645,8149,4
611,73394,360,0.05,3651,8223,5
612,73394,360,0.25,3041,6627,0
613,73394,360,0.25,3046,6684,1
614,73394,360,0.25,2954,6627,2
615,73394,360,0.25,3018,6649,3
616,73394,360,0.25,2906,6769,4
617,73394,360,0.25,2968,6774,5
618,73394,360,1.25,1890,4141,0
619,73394,360,1.25,1843,4354,1
620,73394,360,1.25,1882,4239,2
621,73394,360,1.25,1909,4265,3
622,73394,360,1.25,1895,4226,4
623,73394,360,1.25,1928,4217,5
