,type,a1,t1,a1_std,t1_std,a2,t2,a2_std,t2_std,t_avg
0,prompt,225682.8638484247,1.1001503418480678,2344.5316355657255,0.01581695934472972,143421.62554346016,2.895389858226617,3704.558646075644,0.003372261026686876,1.797720209131637
1,triggered,16589.116624798782,2.879408847248749,163.4879584914084,0.002105200786837277,,,,,
