,time_bin,A,B,date,time_ns
0,0,60.75738095238095,40.252857142857145,20230410,0.0
1,1,74.75738095238094,47.252857142857145,20230410,0.125
2,2,61.75738095238095,26.252857142857145,20230410,0.25
3,3,48.75738095238095,37.252857142857145,20230410,0.375
4,4,72.75738095238094,52.25285714285716,20230410,0.5
5,5,60.75738095238095,64.25285714285714,20230410,0.625
6,6,46.757380952380956,38.252857142857145,20230410,0.75
7,7,62.75738095238095,33.252857142857145,20230410,0.875
8,8,65.75738095238096,19.252857142857145,20230410,1.0
9,9,99.75738095238097,25.252857142857145,20230410,1.125
10,10,36.75738095238096,36.252857142857145,20230410,1.25
11,11,41.75738095238096,46.25285714285715,20230410,1.375
12,12,42.75738095238096,27.252857142857145,20230410,1.5
13,13,41.75738095238096,37.252857142857145,20230410,1.625
14,14,69.75738095238094,32.252857142857145,20230410,1.75
15,15,31.757380952380963,21.252857142857145,20230410,1.875
16,16,27.757380952380956,27.252857142857145,20230410,2.0
17,17,105.75738095238097,26.252857142857145,20230410,2.125
18,18,335.75738095238097,150.25285714285712,20230410,2.25
19,19,755.7573809523811,339.2528571428571,20230410,2.375
20,20,1115.7573809523808,625.2528571428572,20230410,2.5
21,21,1477.7573809523808,780.2528571428572,20230410,2.625
22,22,1651.7573809523808,959.2528571428571,20230410,2.75
23,23,1845.757380952381,1009.2528571428571,20230410,2.875
24,24,1816.757380952381,948.2528571428571,20230410,3.0
25,25,1647.7573809523808,964.2528571428571,20230410,3.125
26,26,1718.7573809523808,919.2528571428571,20230410,3.25
27,27,1558.7573809523808,917.2528571428571,20230410,3.375
28,28,1533.7573809523808,879.2528571428571,20230410,3.5
29,29,1523.7573809523808,860.2528571428571,20230410,3.625
30,30,1423.7573809523808,795.2528571428571,20230410,3.75
31,31,1314.7573809523808,736.2528571428572,20230410,3.875
32,32,1308.7573809523808,718.2528571428572,20230410,4.0
33,33,1291.7573809523808,646.2528571428572,20230410,4.125
34,34,1303.7573809523808,665.2528571428572,20230410,4.25
35,35,1155.7573809523808,612.2528571428572,20230410,4.375
36,36,1083.757380952381,617.2528571428572,20230410,4.5
37,37,1102.757380952381,542.2528571428572,20230410,4.625
38,38,966.7573809523813,589.2528571428572,20230410,4.75
39,39,1019.7573809523811,560.2528571428572,20230410,4.875
40,40,890.7573809523811,497.2528571428571,20230410,5.0
41,41,930.7573809523811,456.2528571428571,20230410,5.125
42,42,813.7573809523811,478.2528571428571,20230410,5.25
43,43,818.7573809523811,444.2528571428571,20230410,5.375
44,44,787.7573809523811,405.2528571428571,20230410,5.5
45,45,703.7573809523811,424.2528571428571,20230410,5.625
46,46,707.7573809523811,400.2528571428571,20230410,5.75
47,47,677.7573809523811,387.2528571428571,20230410,5.875
48,48,609.757380952381,373.2528571428571,20230410,6.0
49,49,605.757380952381,318.2528571428571,20230410,6.125
50,50,570.757380952381,309.2528571428571,20230410,6.25
51,51,564.7573809523809,320.2528571428571,20230410,6.375
52,52,542.757380952381,284.2528571428571,20230410,6.5
53,53,511.75738095238097,255.25285714285712,20230410,6.625
54,54,456.75738095238086,293.2528571428571,20230410,6.75
55,55,511.75738095238097,264.2528571428571,20230410,6.875
