,time_ns,avg_x_squared,avg_y_squared,avg_z_squared,diff_time_ns
0,0,0.0,0.0,1.0,21746
1,200,0.009300127117136223,0.009099269249322216,0.9816006036335415,21746
2,400,0.018220403193683107,0.018008920266970273,0.9637706765393467,21746
3,600,0.026638360430226993,0.02643997674322455,0.9469216628265485,21746
4,800,0.03513217558450611,0.035218733345288425,0.9296490910702055,21746
5,1000,0.043935268205208794,0.043042991997089254,0.913021739797702,21746
6,1200,0.05175130162505692,0.050788966800182356,0.8974597315747609,21746
7,1400,0.05926417695294308,0.05883263690609845,0.8819031861409585,21746
8,1600,0.06670854867881329,0.06547680166159663,0.8678146496595902,21746
9,1800,0.07415160090742655,0.07295815319409901,0.8528902458984745,21746
10,2000,0.08127843788527658,0.07955093993468798,0.8391706221800356,21746
11,2200,0.08752684467246685,0.08689884712122237,0.8255743082063108,21746
12,2400,0.09413649404835137,0.09433962783550164,0.8115238781161471,21746
13,2600,0.09989753680344995,0.10108160082087123,0.7990208623756789,21746
14,2800,0.105559004217138,0.10777932342111214,0.7866616723617499,21746
15,3000,0.1111958338099914,0.11403674381155626,0.7747674223784524,21746
16,3200,0.11698422141374401,0.12056960103524932,0.7624461775510069,21746
17,3400,0.12297444959490322,0.12647394604069362,0.7505516043644033,21746
18,3600,0.12892355100864933,0.1320213772189361,0.7390550717724146,21746
19,3800,0.13408419797678142,0.1379336182578726,0.7279821837653461,21746
20,4000,0.13955427849542112,0.1433655256121906,0.7170801958923885,21746
21,4200,0.14451236565349995,0.14937066286841486,0.7061169714780853,21746
22,4400,0.1496422575951104,0.15426610432323748,0.6960916380816523,21746
23,4600,0.15468715785526257,0.15946214093994507,0.6858507012047925,21746
24,4800,0.15847490827548213,0.16490439409610377,0.6766206976284141,21746
25,5000,0.16329382798700218,0.16977749415639617,0.6669286778566017,21746
26,5200,0.1687525434469217,0.17429412747839865,0.6569533290746796,21746
27,5400,0.17267512196924686,0.17978806627862928,0.6475368117521241,21746
28,5600,0.1766534274079335,0.18579204444500805,0.6375545281470586,21746
29,5800,0.1803998516651325,0.19026051470570657,0.6293396336291611,21746
30,6000,0.18475506928658628,0.1931701610203988,0.622074769693015,21746
31,6200,0.18804898710014617,0.19764639977442872,0.6143046131254252,21746
32,6400,0.1913198699863348,0.20019372664200938,0.6084864033716559,21746
33,6600,0.19578320664800544,0.2034415428202997,0.600775250531695,21746
34,6800,0.19843870535622746,0.20790102704127067,0.593660267602502,21746
35,7000,0.20243567462466652,0.2110474552766064,0.5865168700987271,21746
36,7200,0.20643899565485957,0.2142965706349742,0.5792644337101663,21746
37,7400,0.20984654397551203,0.21711978526702597,0.5730336707574621,21746
38,7600,0.212836295028647,0.22119164756144838,0.5659720574099047,21746
39,7800,0.21547267316181432,0.2241352429752039,0.5603920838629819,21746
40,8000,0.21903065691813767,0.2271278544139011,0.5538414886679615,21746
41,8200,0.22259473494970808,0.229984794352302,0.54742047069799,21746
42,8400,0.2246973631690278,0.23343551894261264,0.5418671178883596,21746
43,8600,0.22744822688554386,0.23582256948739969,0.5367292036270567,21746
44,8800,0.23088850345201467,0.23909124019015002,0.5300202563578353,21746
45,9000,0.23322837376074726,0.24156733752471937,0.5252042887145334,21746
46,9200,0.23577306836533635,0.24358335489940763,0.5206435767352561,21746
47,9400,0.23732137633902467,0.24616841863165592,0.5165102050293195,21746
48,9600,0.23986254606299795,0.2482234235437323,0.5119140303932699,21746
49,9800,0.24219652218707707,0.24993440867241107,0.507869069140512,21746
50,10000,0.24480756839149545,0.25264415584481287,0.5025482757636917,21746
51,10200,0.24738927638853628,0.255773707769952,0.49683701584151185,21746
52,10400,0.24926359719043767,0.25827073549144425,0.49246566731811825,21746
53,10600,0.2511034830185975,0.25945309261823984,0.48944342436316274,21746
54,10800,0.25306071021583865,0.2620825626383109,0.48485672714585054,21746
55,11000,0.25515493975722914,0.2641900898044459,0.480654970438325,21746
56,11200,0.2574396726638647,0.266675939851125,0.4758843874850105,21746
57,11400,0.2595355686659943,0.26797509896423893,0.4724893323697668,21746
58,11600,0.261334660820236,0.26923246402130097,0.4694328751584633,21746
59,11800,0.26438861201272623,0.27035146156984613,0.4652599264174277,21746
60,12000,0.26618168716550994,0.27137930782208647,0.46243900501240376,21746
61,12200,0.2676303454995859,0.273125842613998,0.45924381188641616,21746
62,12400,0.2697845770039313,0.27510167821057313,0.4551137447854957,21746
63,12600,0.2721108379158872,0.27581793545779576,0.45207122662631716,21746
64,12800,0.27429457898616494,0.2778162479471886,0.44788917306664655,21746
65,13000,0.27545200245825224,0.28007835036873935,0.4444696471730085,21746
66,13200,0.27675626370258377,0.2818279023281181,0.44141583396929834,21746
67,13400,0.27966532899485946,0.2838694152555345,0.43646525574960615,21746
68,13600,0.2804174857865893,0.2849329820172451,0.43464953219616576,21746
69,13800,0.28142430787574046,0.2851516556768529,0.4334240364474067,21746
70,14000,0.2822612637985598,0.2871378183990974,0.4306009178023429,21746
71,14200,0.28324204526174074,0.2887721028011207,0.4279858519371386,21746
72,14400,0.2859072556275216,0.28985482570601157,0.424237918666467,21746
73,14600,0.28771738530100327,0.29053808190149916,0.4217445327974976,21746
74,14800,0.28971956125780435,0.2918464734438228,0.4184339652983729,21746
75,15000,0.29022787766647695,0.29252542518852415,0.41724669714499907,21746
76,15200,0.29074862546448965,0.29302391731795485,0.41622745721755555,21746
77,15400,0.2914295613723178,0.2943155824401918,0.4142548561874905,21746
78,15600,0.29370744928693376,0.2936314281339104,0.4126611225791561,21746
